i,shift,dshift_di,risk_factor,r_current,r_leading_cara,s_current,s_leading_cara
-0.8999999999999995,-0.2525939692468088,0.26297887926434305,1.0385982435323686,0.06016217572898814,0.06248433003921278,-0.00022652032990241845,-0.00024434437913507237
-0.8799999999999999,-0.2473232634938086,0.2640885749349967,1.0389185627484991,0.059840735364649775,0.06216965077885523,-0.00021924000395760187,-0.00023663708852397642
-0.8600000000000003,-0.2420305523377009,0.26517935749374444,1.039234640300348,0.0595242027501461,0.061859613434213076,-0.00021210092522968739,-0.00022907083129105528
-0.8399999999999999,-0.23671621775216625,0.2662508564766377,1.0395463043614173,0.05921271117097873,0.06155435506901095,-0.00020510116812434432,-0.00022164391436993222
-0.8200000000000003,-0.23138064907850625,0.267302705627554,1.0398533839549315,0.05890639314474186,0.0612540122481394,-0.00019823870168234813,-0.00021435452885422532
-0.7999999999999998,-0.22602424293896828,0.2683345431498566,1.0401557091216793,0.058605380327375375,0.06095872093276685,-0.00019151139330466198,-0.000207200753388933
-0.7800000000000002,-0.22064740314504663,0.26934601195730945,1.0404531110888835,0.05830980341711645,0.060668616372320024,-0.00018491701249273337,-0.00020018055761106724
-0.7599999999999998,-0.2152505406007721,0.2703367599239649,1.0407454224398631,0.05801979205611461,0.06038383299331401,-0.00017845323459262497,-0.0001932918056284518
-0.7400000000000002,-0.20983407320101968,0.2713064401327433,1.0410324772842274,0.057735474729690636,0.06010450428503075,-0.00017211764453211798,-0.00018653225952599964
-0.7199999999999998,-0.20439842572485664,0.2722547111224198,1.04131411142835,0.05745697866323375,0.059830762682062916,-0.00016590774054042726,-0.00017989958288917624
-0.7000000000000002,-0.19894402972397293,0.27318123713273096,1.0415901625458612,0.05718442971674994,0.05956273944376195,-0.0001598209378407435,-0.00017339134433482558
-0.6799999999999997,-0.19347132340622664,0.27408568834731484,1.041860470347896,0.05691795227709181,0.05930056453064997,-0.0001538545723063749,-0.00016700502103998753
-0.6600000000000001,-0.1879807515143589,0.27496774113419536,1.0421248767528288,0.056657669147921925,0.05904436647788069,-0.0001480059040718817,-0.0001607380022598595
