q,i,alpha_bar_frozen_i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-3.8,-0.03596398552029027,-2.025457591963392,-1.98269147353301,3.0854925676577216,3.051552030284189
-5,-3.78,-0.035962516506664016,-2.0164467090293337,-1.972991654078183,3.076369689826144,3.0418819658101133
-5,-3.76,-0.03596098760514884,-2.007353686624715,-1.9632056467841124,3.067163170753699,3.0321250073908614
-5,-3.7399999999999998,-0.035959396376974165,-1.9981783580529935,-1.953333532440109,3.0578728325678393,3.022281171783732
-5,-3.7199999999999998,-0.03595774028428218,-1.98892057502008,-1.9433754213134804,3.0484985157227995,3.012350502807304
-5,-3.6999999999999997,-0.03595601668612072,-1.9795802081942457,-1.9333314538282091,3.039040079569389,3.00233307200533
-5,-3.68,-0.035954222834275545,-1.9701571477727526,-1.9232018012375043,3.029497402931807,2.992228979307603
-5,-3.66,-0.035952355868935894,-1.9606513040547473,-1.9129866662888049,3.019870384691038,2.9820383536865935
-5,-3.64,-0.03595041281418673,-1.9510626080200104,-1.902686283879845,3.0101589443744206,2.971761353808709
-5,-3.62,-0.03594839057332082,-1.9413910119130486,-1.8923009217042637,3.000363022750908,2.9613981686788824
-5,-3.6,-0.03594628592396376,-1.931636489831998,-1.8818308808851858,2.990482582431486,2.950949018277172
-5,-3.58,-0.0359440955130045,-1.9217990383217627,-1.8712764965951578,2.9805176084742038,2.9404141541859796
-5,-3.56,-0.03594181585132396,-1.9118786769707856,-1.8606381386607418,2.970468108993206,2.9297938602064697
-5,-3.54,-0.035939443308313765,-1.9018754490107483,-1.8499162121499872,2.9603341157710994,2.91908845296264
-5,-3.52,-0.0359369741061771,-1.8917894219185243,-1.839111157940981,2.9501156848739765,2.9082982824915153
-5,-3.5,-0.03593440431400316,-1.8816206880195836,-1.8282234532695558,2.9398128972683097,2.8974237328177974
-5,-3.48,-0.03593172984160654,-1.8713693650920493,-1.8172536122542255,2.9294258594389393,2.886465222511311
-5,-3.46,-0.0359289464331225,-1.8610355969705266,-1.8062021863963178,2.9189547040072696,2.875423205225471
-5,-3.44,-0.03592604966034877,-1.8506195541487596,-1.795069765053221,2.90839959034876,2.8642981702149544
-5,-3.42,-0.03592303491582418,-1.8401214343801582,-1.7838569758826395,2.8977607052087526,2.853090642830744
-5,-3.4,-0.03591989740563406,-1.8295414632751057,-1.7725644852556242,2.887038263315564,2.8418011849905547
-5,-3.38,-0.03591663214193211,-1.8188798948939735,-1.7611929986361774,2.876232507989773,2.830430395622714
-5,-3.36,-0.03591323393516792,-1.8081370123346405,-1.7497432609251053,2.8653437117485185,2.8189789110814263
-5,-3.34,-0.03590969738600903,-1.7973131283133064,-1.7382160567658116,2.854372176903602,2.807447405531347
-5,-3.32,-0.03590601687694608,-1.7864085857372627,-1.7266122108096182,2.843318236152068,2.795836591299321
-5,-3.3,-0.03590218656356912,-1.775423758268279,-1.7149325879382302,2.8321822531579266,2.784147219191109
