q,i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
15,-3.26,-1.0856158311513737,-1.0914874159051542,2.1585528188605974,2.1649678531231356
15,-3.2399999999999998,-1.0809319308146055,-1.0869173476464005,2.1536051879081395,2.1601442390109917
15,-3.2199999999999998,-1.0761946359671273,-1.0822953624440637,2.148601157127463,2.155265819232517
15,-3.1999999999999997,-1.0714036087455898,-1.077621114083098,2.1435403767433185,2.150332234134827
15,-3.18,-1.0665585205306831,-1.072894264344337,2.138422507287057,2.1453431329914747
15,-3.16,-1.0616590524494938,-1.0681144834750849,2.133247220148178,2.140298174519537
15,-3.14,-1.0567048958861684,-1.0632814506687305,2.128014198134773,2.135197027406449
15,-3.12,-1.051695753000349,-1.05839485455296,2.1227231360422723,2.130039370846074
15,-3.1,-1.046631337252833,-1.053454393686113,2.117373741229861,2.124824895083513
15,-3.08,-1.0415113739378508,-1.0484597770611845,2.111965734203877,2.1195533019680717
15,-3.06,-1.0363356007213071,-1.0434107246169309,2.1064988492074495,2.1142243055137686
15,-3.04,-1.0311037681842874,-1.0383069677554797,2.1009728348155896,2.1088376324667135
15,-3.02,-1.0258156403710896,-1.0331482498658253,2.0953874545348916,2.1033930228786373
15,-3.0,-1.0204709953409767,-1.0279343268525198,2.089742487406935,2.097890230685806
15,-2.98,-1.015069625722823,-1.022664967668839,2.084037728614455,2.092329024292491
15,-2.96,-1.0096113392717592,-1.017339954853652,2.078272990089269,2.0867091871581285
15,-2.94,-1.0040959594268821,-1.0119590850711773,2.0724481011209086,2.0810305183872395
15,-2.92,-0.99852332586906,-1.00652216965277,2.0665629089648543,2.07529283332115
15,-2.9,-0.9928932950777993,-1.0010290351398279,2.0606172794492257,2.069495964130471
15,-2.88,-0.9872057408861185,-0.9954795238268781,2.0546110975787166,2.0636397604072867
15,-2.86,-0.9814605550323108,-0.9898734943038383,2.048544268134544,2.057724089755921
15,-2.84,-0.975657647707465,-0.9842108219964454,2.042416716269113,2.051748838381127
15,-2.82,-0.969796948097547,-0.978491399703757,2.0362283880940706,2.0457139116724967
15,-2.8,-0.9638784049188333,-0.9727151381316376,2.029979251260387,2.0396192347838373
15,-2.78,-0.9579019869454471,-0.9668819664210795,2.0236692955290545,2.03346475320624
15,-2.76,-0.9518676835277164,-0.9609918326701853,2.017298533330981,2.027250433333514
15,-2.7399999999999998,-0.945775505100055,-0.955044704448616,2.010867000314611,2.0209762630186483
15,-2.7199999999999998,-0.9396254836770397,-0.9490405693032669,2.004374755879798,2.014642252119904
15,-2.6999999999999997,-0.9334176733363473,-0.9429794352539269,1.997821883696424,2.0082484330351495
15,-2.6799999999999997,-0.9271521506871895,-0.9368613312776509,1.9912084922062536,2.0017948612230105
15,-2.66,-0.9208290153228947,-0.9306863077805556,1.984534715106505,1.9952816157093927
15,-2.64,-0.91444839025626,-0.9244544370557491,1.9778007118136065,1.9887087995779322
15,-2.62,-0.9080104223363195,-0.9181658137260922,1.97100666790563,1.9820765404429235
15,-2.6,-0.9015152826451641,-0.9118205551704859,1.964152795541877,1.975384990903255
