i,q,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-3.0,12,-2.3592971367575113,-2.4337189072242307,3.3876843388787465,3.463984486664126
-3.0,13,-2.3901760366709315,-2.466476184456311,3.4170404644417167,3.494483670316492
-3.0,14,-2.419532162233902,-2.4969753681086773,3.4448738156542373,3.5227247603891447
-3.0,15,-2.4473655134464227,-2.5252164581813297,3.4711843925163084,3.548707756882083
-3.0,16,-2.4736760903084933,-2.5511994546742685,3.495972195027929,3.572432659795308
-3.0,17,-2.4984638928201144,-2.574924357587493,3.5192372231891005,3.593899469128819
-3.0,18,-2.5217289209812854,-2.5963911669210042,3.540979476999822,3.6131081848826163
-3.0,19,-2.543471174792007,-2.6155998826748013,3.5611989564600934,3.6300588070566997
-3.0,20,-2.563690654252279,-2.6325505048488846,3.5798956615699153,3.644751335651069
-3.0,21,-2.5823873593621003,-2.6472430334432544,3.597069592329287,3.657185770665725
-3.0,22,-2.599561290121472,-2.659677468457911,3.6127207487382096,3.6673621121006676
-3.0,23,-2.6152124465303945,-2.6698538098928526,3.6268491307966815,3.6752803599558956
-3.0,24,-2.6293408285888673,-2.6777720577480806,3.6394547385047042,3.68094051423141
-3.0,25,-2.641946436296889,-2.6834322120235954,3.6505375718622775,3.684342574927211
-3.0,26,-2.6530292696544624,-2.686834272719396,3.6600976308694,3.685486542043298
-3.0,27,-2.6625893286615856,-2.687978239835483,3.668134915526074,3.684372415579671
-3.0,28,-2.670626613318259,-2.686864113371856,3.674649425832297,3.68100019553633
-3.0,29,-2.677141123624483,-2.6834918933285152,3.679641161788071,3.675369881913275
-3.0,30,-2.682132859580256,-2.677861579705461,3.683110123393395,3.667481474710508
0.0,-30,1.2948384348991318,1.6979243957718901,-0.2712290086324572,-0.6610990363618465
0.0,-29,1.268737310840272,1.6586073385696611,-0.2451278845735974,-0.6217819791596175
0.0,-28,1.2426361867814122,1.6192902813674321,-0.21902676051473763,-0.5824649219573887
0.0,-27,1.2165350627225524,1.5799732241652034,-0.19292563645587774,-0.5431478647551597
0.0,-26,1.1904339386636924,1.5406561669629744,-0.16682451239701795,-0.5038308075529307
0.0,-25,1.1643328146048326,1.5013391097607454,-0.14072338833815817,-0.4645137503507018
0.0,-24,1.1382316905459728,1.4620220525585166,-0.11462226427929828,-0.4251966931484728
0.0,-23,1.112130566487113,1.4227049953562876,-0.0885211402204385,-0.3858796359462439
0.0,-22,1.0860294424282533,1.3833879381540586,-0.06242001616157872,-0.3465625787440149
0.0,-21,1.0599283183693935,1.3440708809518296,-0.036318892102718825,-0.307245521541786
0.0,-20,1.0338271943105335,1.3047538237496008,-0.010217768043859043,-0.267928464339557
0.0,-19,1.0077260702516737,1.2654367665473718,0.015883356015000738,-0.22861140713732814
0.0,-18,0.9816249461928139,1.2261197093451428,0.041984480073860575,-0.18929434993509914
0.0,-17,0.9555238221339541,1.1868026521429138,0.06808560413272041,-0.14997729273287025
0.0,-16,0.9294226980750944,1.147485594940685,0.0941867281915802,-0.11066023553064125
0.0,-15,0.9033215740162346,1.108168537738456,0.12028785225044003,-0.07134317832841236
0.0,-14,0.8772204499573747,1.068851480536227,0.14638897630929987,-0.03202612112618336
0.0,-13,0.8511193258985148,1.029534423333998,0.17249010036815965,0.007290936076045529
0.0,-12,0.825018201839655,0.9902173661317692,0.19859122442701949,0.04660799327827453
0.0,-11,0.7989170777807952,0.9509003089295402,0.22469234848587927,0.08592505048050342
0.0,-10,0.7728159537219355,0.9115832517273113,0.2507934725447391,0.12524210768273242
0.0,-9,0.7467148296630757,0.8722661945250823,0.27689459660359894,0.1645591648849613
0.0,-8,0.7206137056042158,0.8329491373228535,0.3029957206624587,0.2038762220871903
0.0,-7,0.694512581545356,0.7936320801206245,0.32909684472131856,0.2431932792894192
0.0,-6,0.6684114574864961,0.7543150229183955,0.3551979687801784,0.28251033649164814
0.0,-5,0.6423103334276363,0.7149979657161666,0.3812990928390382,0.32182739369387714
0.0,-4,0.6162092093687765,0.6756809085139376,0.407400216897898,0.36114445089610603
0.0,-3,0.5901080853099168,0.6363638513117087,0.43350134095675785,0.40046150809833503
0.0,-2,0.5640069612510569,0.5970467941094797,0.45960246501561763,0.4397785653005639
0.0,-1,0.5379058371921971,0.5577297369072508,0.48570358907447747,0.4790956225027929
0.0,0,0.5118047131333373,0.5184126797050218,0.5118047131333373,0.5184126797050218
0.0,1,0.48570358907447747,0.4790956225027929,0.5379058371921971,0.5577297369072508
0.0,2,0.45960246501561763,0.4397785653005639,0.5640069612510569,0.5970467941094797
0.0,3,0.43350134095675785,0.40046150809833503,0.5901080853099168,0.6363638513117087
0.0,4,0.407400216897898,0.36114445089610603,0.6162092093687765,0.6756809085139376
0.0,5,0.3812990928390382,0.32182739369387714,0.6423103334276363,0.7149979657161666
0.0,6,0.3551979687801784,0.28251033649164814,0.6684114574864961,0.7543150229183955
0.0,7,0.32909684472131856,0.2431932792894192,0.694512581545356,0.7936320801206245
0.0,8,0.3029957206624587,0.2038762220871903,0.7206137056042158,0.8329491373228535
0.0,9,0.27689459660359894,0.1645591648849613,0.7467148296630757,0.8722661945250823
0.0,10,0.2507934725447391,0.12524210768273242,0.7728159537219355,0.9115832517273113
0.0,11,0.22469234848587927,0.08592505048050342,0.7989170777807952,0.9509003089295402
0.0,12,0.19859122442701949,0.04660799327827453,0.825018201839655,0.9902173661317692
0.0,13,0.17249010036815965,0.007290936076045529,0.8511193258985148,1.029534423333998
0.0,14,0.14638897630929987,-0.03202612112618336,0.8772204499573747,1.068851480536227
0.0,15,0.12028785225044003,-0.07134317832841236,0.9033215740162346,1.108168537738456
0.0,16,0.0941867281915802,-0.11066023553064125,0.9294226980750944,1.147485594940685
0.0,17,0.06808560413272041,-0.14997729273287025,0.9555238221339541,1.1868026521429138
0.0,18,0.041984480073860575,-0.18929434993509914,0.9816249461928139,1.2261197093451428
0.0,19,0.015883356015000738,-0.22861140713732814,1.0077260702516737,1.2654367665473718
0.0,20,-0.010217768043859043,-0.267928464339557,1.0338271943105335,1.3047538237496008
0.0,21,-0.036318892102718825,-0.307245521541786,1.0599283183693935,1.3440708809518296
0.0,22,-0.06242001616157872,-0.3465625787440149,1.0860294424282533,1.3833879381540586
0.0,23,-0.0885211402204385,-0.3858796359462439,1.112130566487113,1.4227049953562876
0.0,24,-0.11462226427929828,-0.4251966931484728,1.1382316905459728,1.4620220525585166
0.0,25,-0.14072338833815817,-0.4645137503507018,1.1643328146048326,1.5013391097607454
0.0,26,-0.16682451239701795,-0.5038308075529307,1.1904339386636924,1.5406561669629744
0.0,27,-0.19292563645587774,-0.5431478647551597,1.2165350627225524,1.5799732241652034
0.0,28,-0.21902676051473763,-0.5824649219573887,1.2426361867814122,1.6192902813674321
0.0,29,-0.2451278845735974,-0.6217819791596175,1.268737310840272,1.6586073385696611
0.0,30,-0.2712290086324572,-0.6610990363618465,1.2948384348991318,1.6979243957718901
3.0,-30,3.683110123393395,3.667481474710508,-2.682132859580256,-2.677861579705461
3.0,-29,3.679641161788071,3.675369881913275,-2.677141123624483,-2.6834918933285152
3.0,-28,3.674649425832297,3.68100019553633,-2.670626613318259,-2.686864113371856
3.0,-27,3.668134915526074,3.684372415579671,-2.6625893286615856,-2.687978239835483
3.0,-26,3.6600976308694,3.685486542043298,-2.6530292696544624,-2.686834272719396
3.0,-25,3.6505375718622775,3.684342574927211,-2.641946436296889,-2.6834322120235954
3.0,-24,3.6394547385047042,3.68094051423141,-2.6293408285888673,-2.6777720577480806
3.0,-23,3.6268491307966815,3.6752803599558956,-2.6152124465303945,-2.6698538098928526
3.0,-22,3.6127207487382096,3.6673621121006676,-2.599561290121472,-2.659677468457911
3.0,-21,3.597069592329287,3.657185770665725,-2.5823873593621003,-2.6472430334432544
3.0,-20,3.5798956615699153,3.644751335651069,-2.563690654252279,-2.6325505048488846
3.0,-19,3.5611989564600934,3.6300588070566997,-2.543471174792007,-2.6155998826748013
3.0,-18,3.540979476999822,3.6131081848826163,-2.5217289209812854,-2.5963911669210042
3.0,-17,3.5192372231891005,3.593899469128819,-2.4984638928201144,-2.574924357587493
