i,q,ask_current,ask_leading_cara,bid_current,bid_leading_cara
0.0,24,-0.11462226427929828,-0.1432690364670784,1.1382316905459728,1.1680974743162116
0.0,25,-0.14072338833815817,-0.1705891721083969,1.1643328146048326,1.1954176099575302
0.0,26,-0.16682451239701795,-0.19790930774971544,1.1904339386636924,1.2227377455988486
0.0,27,-0.19292563645587774,-0.22522944339103396,1.2165350627225524,1.2500578812401673
0.0,28,-0.21902676051473763,-0.2525495790323526,1.2426361867814122,1.277378016881486
0.0,29,-0.2451278845735974,-0.2798697146736711,1.268737310840272,1.3046981525228043
0.0,30,-0.2712290086324572,-0.30718985031498963,1.2948384348991318,1.332018288164123
3.0,-30,3.3470783171936924,3.3681208128913767,-2.255195827388409,-2.275225339330153
3.0,-29,3.2527041295962236,3.2727336415379678,-2.1623290396402277,-2.1813674726252734
3.0,-28,3.1598373418480428,3.1788757748330885,-2.0709696517413354,-2.089038910568923
3.0,-27,3.06847795394915,3.0865472127767375,-1.9811176636917314,-1.9982396531611017
3.0,-26,2.978625965899546,2.9957479553689166,-1.8927730754914158,-1.9089697004018094
3.0,-25,2.8902813776992304,2.9064780026096244,-1.8059358871403883,-1.8212290522910466
3.0,-24,2.803444189348203,2.818737354498861,-1.7206060986386496,-1.7350177088288126
3.0,-23,2.7181144008464644,2.7325260110366276,-1.6367837099861988,-1.650335670015108
3.0,-22,2.634292012194013,2.6478439722229226,-1.5544687211830368,-1.5671829358499323
3.0,-21,2.551977023390852,2.564691238057747,-1.473661132229163,-1.4855595063332858
3.0,-20,2.4711694344369777,2.483067808541101,-1.3943609431245778,-1.4054653814651685
3.0,-19,2.3918692453323924,2.4029736836729834,-1.3165681538692806,-1.3269005612455806
3.0,-18,2.3140764560770952,2.3244088634533955,-1.2402827644632721,-1.2498650456745215
3.0,-17,2.237791066671087,2.2473733478823363,-1.1655047749065517,-1.1743588347519918
3.0,-16,2.1630130771143667,2.171867136959807,-1.09223418519912,-1.1003819284779912
3.0,-15,2.089742487406935,2.097890230685806,-1.0204709953409767,-1.0279343268525198
3.0,-14,2.0179792975487914,2.0254426290603345,-0.9502152053321214,-0.9570160298755773
3.0,-13,1.9477235075399362,1.954524332083392,-0.8814668151725548,-0.8876270375471642
3.0,-12,1.8789751173803697,1.885135339754979,-0.8142258248622766,-0.8197673498672802
3.0,-11,1.8117341270700915,1.817275652075095,-0.7484922344012865,-0.7534369668359253
3.0,-10,1.7460005366091014,1.7509452690437401,-0.6842660437895851,-0.6886358884530996
3.0,-9,1.6817743459973997,1.6861441906609145,-0.621547253027172,-0.6253641147188032
3.0,-8,1.6190555552349866,1.622872416926618,-0.5603358621140471,-0.5636216456330357
3.0,-7,1.557844164321862,1.5611299478408505,-0.5006318710502108,-0.5034084811957975
3.0,-6,1.4981401732580257,1.5009167834036123,-0.4424352798356627,-0.4447246214070884
3.0,-5,1.4399435820434776,1.4422329236149032,-0.38574608847040315,-0.38757006626690843
3.0,-4,1.383254390678218,1.3850783684747232,-0.3305642969544319,-0.33194481577525764
3.0,-3,1.3280725991622466,1.3294531179830724,-0.2768899052877491,-0.27784886993213603
3.0,-2,1.2743982074955638,1.2753571721399508,-0.22472291347035458,-0.22528222873754356
3.0,-1,1.2222312156781694,1.2227905309453584,-0.17406332150224854,-0.17424489219148023
3.0,0,1.1715716237100633,1.1717531943992952,-0.12491112938343085,-0.12473686029394607
3.0,1,1.1224194315912457,1.1222451625017609,-0.07726633711390155,-0.07675813304494106
3.0,2,1.0747746393217161,1.074266435252756,-0.03112894469366062,-0.030308710444465203
3.0,3,1.0286372469014753,1.0278170126522799,0.0135010478772919,0.014611407507481501
3.0,4,0.9840072543305229,0.9828968947003334,0.05662364059895608,0.05800222081089905
3.0,5,0.9408846616088586,0.9395060813969157,0.09823883347133182,0.09986372946578745
3.0,6,0.899269468736483,0.8976445727420274,0.13834662649441923,0.14019593347214668
3.0,7,0.8591616757133955,0.8573123687356681,0.1769470196682182,0.17899883282997678
3.0,8,0.8205612825395965,0.8185094693778381,0.21404001299272885,0.21627242753927772
3.0,9,0.7834682892150859,0.7812358746685371,0.24962560646795107,0.2520167176000495
3.0,10,0.7478826957398638,0.7454915846077653,0.2837038000938849,0.28623170301229217
3.0,11,0.7138045021139299,0.7112765991955226,0.31627459387053036,0.31891738377600554
3.0,12,0.6812337083372844,0.6785909184318093,0.3473379877978874,0.35007375989118994
3.0,13,0.6501703144099273,0.6474345423166248,0.37689398187595613,0.37970083135784505
3.0,14,0.6206143203318587,0.6178074708499698,0.4049425761047364,0.4077985981759712
3.0,15,0.5925657261030783,0.5897097040318436,0.4314837704842285,0.43436706034556793
3.0,16,0.5660245317235864,0.5631412418622469,0.45651756501443197,0.4594062178666357
3.0,17,0.5409907371933829,0.5381020843411791,0.48004395969534697,0.4829160707391742
3.0,18,0.5174643425124678,0.5145922314686406,0.5020629545269739,0.5048966189631836
3.0,19,0.4954453476808409,0.49261168324463117,0.5225745495093121,0.5253478625386638
3.0,20,0.4749337526985025,0.47216043966915106,0.5415787446423623,0.544269801465615
3.0,21,0.4559295575654525,0.45323850074219985,0.5590755399261239,0.5616624357440367
3.0,22,0.4384327622816909,0.43584586646377804,0.575064935360597,0.5775257653739296
3.0,23,0.4224433668472178,0.41998253683388515,0.5895469309457819,0.5918597903552931
