k,q,bid_depth
0.52,26,3.245342909
0.52,27,3.293848247
0.52,28,3.342140475
0.52,29,3.390214802
0.52,30,3.438066682
0.5816666667,-30,0.3043664105
0.5816666667,-29,0.3494566819
0.5816666667,-28,0.3947721757
0.5816666667,-27,0.4403082442
0.5816666667,-26,0.4860599665
0.5816666667,-25,0.5320221469
0.5816666667,-24,0.5781893139
0.5816666667,-23,0.6245557207
0.5816666667,-22,0.671115346
0.5816666667,-21,0.7178618957
0.5816666667,-20,0.7647888061
0.5816666667,-19,0.8118892468
0.5816666667,-18,0.859156126
0.5816666667,-17,0.9065820957
0.5816666667,-16,0.9541595583
0.5816666667,-15,1.001880674
0.5816666667,-14,1.049737371
0.5816666667,-13,1.09772135
0.5816666667,-12,1.145824103
0.5816666667,-11,1.194036916
0.5816666667,-10,1.242350888
0.5816666667,-9,1.290756939
0.5816666667,-8,1.33924583
0.5816666667,-7,1.387808171
0.5816666667,-6,1.436434443
0.5816666667,-5,1.48511501
0.5816666667,-4,1.533840136
0.5816666667,-3,1.582600005
0.5816666667,-2,1.631384736
0.5816666667,-1,1.680184403
0.5816666667,0,1.728989052
0.5816666667,1,1.777788719
0.5816666667,2,1.82657345
0.5816666667,3,1.875333319
0.5816666667,4,1.924058445
0.5816666667,5,1.972739011
0.5816666667,6,2.021365283
0.5816666667,7,2.069927625
0.5816666667,8,2.118416515
0.5816666667,9,2.166822567
0.5816666667,10,2.215136539
0.5816666667,11,2.263349352
0.5816666667,12,2.311452104
0.5816666667,13,2.359436084
0.5816666667,14,2.40729278
0.5816666667,15,2.455013896
0.5816666667,16,2.502591359
0.5816666667,17,2.550017329
0.5816666667,18,2.597284208
0.5816666667,19,2.644384649
0.5816666667,20,2.691311559
0.5816666667,21,2.738058109
0.5816666667,22,2.784617734
0.5816666667,23,2.830984141
0.5816666667,24,2.877151308
0.5816666667,25,2.923113488
0.5816666667,26,2.96886521
0.5816666667,27,3.014401279
0.5816666667,28,3.059716773
0.5816666667,29,3.104807044
0.5816666667,30,3.149667717
0.6433333333,-30,0.2148909136
0.6433333333,-29,0.2574301413
0.6433333333,-28,0.3002009637
0.6433333333,-27,0.343198907
0.6433333333,-26,0.3864191986
0.6433333333,-25,0.4298567637
0.6433333333,-24,0.4735062241
0.6433333333,-23,0.5173618965
0.6433333333,-22,0.5614177928
0.6433333333,-21,0.6056676208
0.6433333333,-20,0.6501047863
0.6433333333,-19,0.6947223962
0.6433333333,-18,0.7395132626
0.6433333333,-17,0.7844699082
0.6433333333,-16,0.8295845727
0.6433333333,-15,0.874849221
0.6433333333,-14,0.9202555516
0.6433333333,-13,0.9657950073
0.6433333333,-12,1.011458786
0.6433333333,-11,1.057237855
0.6433333333,-10,1.103122961
0.6433333333,-9,1.14910465
0.6433333333,-8,1.195173279
0.6433333333,-7,1.241319034
0.6433333333,-6,1.287531949
0.6433333333,-5,1.333801923
0.6433333333,-4,1.380118741
0.6433333333,-3,1.426472093
0.6433333333,-2,1.472851594
0.6433333333,-1,1.519246806
0.6433333333,0,1.565647259
0.6433333333,1,1.612042471
0.6433333333,2,1.658421972
0.6433333333,3,1.704775324
0.6433333333,4,1.751092142
0.6433333333,5,1.797362116
0.6433333333,6,1.843575031
0.6433333333,7,1.889720786
0.6433333333,8,1.935789415
0.6433333333,9,1.981771104
0.6433333333,10,2.02765621
0.6433333333,11,2.073435279
0.6433333333,12,2.119099058
0.6433333333,13,2.164638514
0.6433333333,14,2.210044844
0.6433333333,15,2.255309492
0.6433333333,16,2.300424157
0.6433333333,17,2.345380802
0.6433333333,18,2.390171669
0.6433333333,19,2.434789279
0.6433333333,20,2.479226444
0.6433333333,21,2.523476272
0.6433333333,22,2.567532169
0.6433333333,23,2.611387841
0.6433333333,24,2.655037301
0.6433333333,25,2.698474867
0.6433333333,26,2.741695158
0.6433333333,27,2.784693101
0.6433333333,28,2.827463924
0.6433333333,29,2.870003152
0.6433333333,30,2.912306606
0.705,-30,0.1438793936
0.705,-29,0.1842042057
0.705,-28,0.2247661724
0.705,-27,0.2655610171
0.705,-26,0.3065841405
0.705,-25,0.3478306161
0.705,-24,0.3892951871
0.705,-23,0.4309722638
0.705,-22,0.4728559221
0.705,-21,0.5149399037
0.705,-20,0.5572176168
0.705,-19,0.5996821384
0.705,-18,0.6423262179
0.705,-17,0.6851422822
0.705,-16,0.7281224418
0.705,-15,0.771258499
0.705,-14,0.8145419566
0.705,-13,0.8579640291
0.705,-12,0.9015156547
0.705,-11,0.9451875089
0.705,-10,0.9889700196
0.705,-9,1.032853383
0.705,-8,1.076827583
0.705,-7,1.120882406
0.705,-6,1.165007468
0.705,-5,1.209192226
0.705,-4,1.253426011
0.705,-3,1.297698041
0.705,-2,1.341997451
0.705,-1,1.386313313
0.705,0,1.430634663
0.705,1,1.474950525
0.705,2,1.519249935
0.705,3,1.563521965
0.705,4,1.60775575
0.705,5,1.651940509
0.705,6,1.69606557
0.705,7,1.740120394
0.705,8,1.784094593
0.705,9,1.827977957
0.705,10,1.871760467
0.705,11,1.915432322
0.705,12,1.958983947
0.705,13,2.00240602
0.705,14,2.045689477
0.705,15,2.088825535
0.705,16,2.131805694
0.705,17,2.174621758
0.705,18,2.217265838
0.705,19,2.25973036
0.705,20,2.302008073
0.705,21,2.344092054
0.705,22,2.385975713
0.705,23,2.427652789
0.705,24,2.46911736
0.705,25,2.510363836
0.705,26,2.551386959
0.705,27,2.592181804
0.705,28,2.632743771
0.705,29,2.673068583
0.705,30,2.713152281
0.7666666667,-30,0.08657518675
0.7666666667,-29,0.1249535767
0.7666666667,-28,0.1635739782
0.7666666667,-27,0.2024323298
0.7666666667,-26,0.2415242257
0.7666666667,-25,0.2808449093
0.7666666667,-24,0.3203892689
0.7666666667,-23,0.3601518328
0.7666666667,-22,0.4001267674
0.7666666667,-21,0.4403078752
0.7666666667,-20,0.4806885947
0.7666666667,-19,0.5212620017
0.7666666667,-18,0.5620208122
0.7666666667,-17,0.6029573864
0.7666666667,-16,0.6440637349
0.7666666667,-15,0.6853315266
0.7666666667,-14,0.7267520975
0.7666666667,-13,0.7683164621
0.7666666667,-12,0.8100153265
0.7666666667,-11,0.8518391024
0.7666666667,-10,0.8937779235
0.7666666667,-9,0.9358216639
0.7666666667,-8,0.9779599566
0.7666666667,-7,1.020182215
0.7666666667,-6,1.062477656
0.7666666667,-5,1.104835321
0.7666666667,-4,1.147244104
0.7666666667,-3,1.189692775
0.7666666667,-2,1.232170007
0.7666666667,-1,1.274664403
0.7666666667,0,1.317164526
0.7666666667,1,1.359658922
0.7666666667,2,1.402136154
0.7666666667,3,1.444584825
0.7666666667,4,1.486993608
0.7666666667,5,1.529351273
0.7666666667,6,1.571646713
0.7666666667,7,1.613868972
0.7666666667,8,1.656007265
0.7666666667,9,1.698051005
0.7666666667,10,1.739989826
0.7666666667,11,1.781813602
0.7666666667,12,1.823512466
0.7666666667,13,1.865076831
0.7666666667,14,1.906497402
0.7666666667,15,1.947765194
0.7666666667,16,1.988871542
0.7666666667,17,2.029808116
0.7666666667,18,2.070566927
0.7666666667,19,2.111140334
0.7666666667,20,2.151521053
0.7666666667,21,2.191702161
0.7666666667,22,2.231677096
0.7666666667,23,2.27143966
0.7666666667,24,2.310984019
0.7666666667,25,2.350304703
0.7666666667,26,2.389396599
0.7666666667,27,2.42825495
0.7666666667,28,2.466875352
0.7666666667,29,2.505253742
0.7666666667,30,2.543386396
0.8283333333,-30,0.0396879195
0.8283333333,-29,0.07633747997
0.8283333333,-28,0.1132332958
0.8283333333,-27,0.1503715345
0.8283333333,-26,0.1877479995
0.8283333333,-25,0.2253581217
0.8283333333,-24,0.2631969534
0.8283333333,-23,0.3012591621
0.8283333333,-22,0.3395390263
0.8283333333,-21,0.3780304327
0.8283333333,-20,0.4167268742
0.8283333333,-19,0.4556214503
0.8283333333,-18,0.4947068688
0.8283333333,-17,0.5339754492
0.8283333333,-16,0.5734191283
0.8283333333,-15,0.6130294674
0.8283333333,-14,0.6527976614
0.8283333333,-13,0.6927145504
0.8283333333,-12,0.7327706331
0.8283333333,-11,0.7729560818
0.8283333333,-10,0.8132607599
0.8283333333,-9,0.8536742415
0.8283333333,-8,0.894185832
0.8283333333,-7,0.9347845914
0.8283333333,-6,0.9754593591
0.8283333333,-5,1.01619878
0.8283333333,-4,1.05699133
0.8283333333,-3,1.09782535
0.8283333333,-2,1.138689068
0.8283333333,-1,1.179570638
0.8283333333,0,1.220458163
0.8283333333,1,1.261339732
0.8283333333,2,1.302203451
0.8283333333,3,1.343037471
0.8283333333,4,1.383830021
0.8283333333,5,1.424569441
0.8283333333,6,1.465244209
0.8283333333,7,1.505842969
0.8283333333,8,1.546354559
0.8283333333,9,1.586768041
0.8283333333,10,1.627072719
0.8283333333,11,1.667258168
0.8283333333,12,1.70731425
0.8283333333,13,1.747231139
0.8283333333,14,1.786999333
0.8283333333,15,1.826609672
0.8283333333,16,1.866053351
0.8283333333,17,1.905321932
0.8283333333,18,1.94440735
0.8283333333,19,1.983301926
0.8283333333,20,2.021998368
0.8283333333,21,2.060489774
0.8283333333,22,2.098769639
0.8283333333,23,2.136831847
0.8283333333,24,2.174670679
0.8283333333,25,2.212280801
0.8283333333,26,2.249657266
0.8283333333,27,2.286795505
0.8283333333,28,2.323691321
0.8283333333,29,2.360340881
0.8283333333,30,2.396740709
0.89,-30,0.0008747834785
0.89,-29,0.03597513534
0.89,-28,0.07132544777
0.89,-27,0.1069221278
0.89,-26,0.1427612
0.89,-25,0.1788382972
0.89,-24,0.2151486514
0.89,-23,0.2516870863
0.89,-22,0.2884480114
0.89,-21,0.3254254172
