k,q,bid_depth
0.5816666667,18,2.754048086
0.5816666667,19,2.809082979
0.5816666667,20,2.86386297
0.5816666667,21,2.91837801
0.5816666667,22,2.972618452
0.5816666667,23,3.026575064
0.5816666667,24,3.080239031
0.5816666667,25,3.133601961
0.5816666667,26,3.186655893
0.5816666667,27,3.239393294
0.5816666667,28,3.291807067
0.5816666667,29,3.343890547
0.5816666667,30,3.395637501
0.6433333333,-30,-0.01127380045
0.6433333333,-29,0.03773991004
0.6433333333,-28,0.08709629126
0.6433333333,-27,0.136789011
0.6433333333,-26,0.1868112495
0.6433333333,-25,0.2371556975
0.6433333333,-24,0.2878145561
0.6433333333,-23,0.3387795375
0.6433333333,-22,0.3900418683
0.6433333333,-21,0.4415922938
0.6433333333,-20,0.4934210841
0.6433333333,-19,0.5455180426
0.6433333333,-18,0.5978725148
0.6433333333,-17,0.6504734002
0.6433333333,-16,0.7033091653
0.6433333333,-15,0.7563678579
0.6433333333,-14,0.8096371237
0.6433333333,-13,0.8631042242
0.6433333333,-12,0.9167560557
0.6433333333,-11,0.9705791703
0.6433333333,-10,1.024559798
0.6433333333,-9,1.078683871
0.6433333333,-8,1.132937046
0.6433333333,-7,1.187304733
0.6433333333,-6,1.24177212
0.6433333333,-5,1.2963242
0.6433333333,-4,1.350945804
0.6433333333,-3,1.405621624
0.6433333333,-2,1.460336245
0.6433333333,-1,1.515074178
0.6433333333,0,1.569819887
0.6433333333,1,1.62455782
0.6433333333,2,1.679272442
0.6433333333,3,1.733948261
0.6433333333,4,1.788569865
0.6433333333,5,1.843121945
0.6433333333,6,1.897589332
0.6433333333,7,1.951957019
0.6433333333,8,2.006210194
0.6433333333,9,2.060334267
0.6433333333,10,2.114314895
0.6433333333,11,2.168138009
0.6433333333,12,2.221789841
0.6433333333,13,2.275256941
0.6433333333,14,2.328526207
0.6433333333,15,2.3815849
0.6433333333,16,2.434420665
0.6433333333,17,2.48702155
0.6433333333,18,2.539376023
0.6433333333,19,2.591472981
0.6433333333,20,2.643301771
0.6433333333,21,2.694852197
0.6433333333,22,2.746114528
0.6433333333,23,2.797079509
0.6433333333,24,2.847738368
0.6433333333,25,2.898082816
0.6433333333,26,2.948105054
0.6433333333,27,2.997797774
0.6433333333,28,3.047154155
0.6433333333,29,3.096167866
0.6433333333,30,3.144833057
0.705,-30,-0.07070706337
0.705,-29,-0.02437355604
0.705,-28,0.02231325604
0.705,-27,0.06934744416
0.705,-26,0.116722541
0.705,-25,0.164431536
0.705,-24,0.2124668718
0.705,-23,0.2608204437
0.705,-22,0.3094836003
0.705,-21,0.3584471462
0.705,-20,0.4077013471
0.705,-19,0.4572359369
0.705,-18,0.5070401267
0.705,-17,0.5571026162
0.705,-16,0.6074116071
0.705,-15,0.6579548187
0.705,-14,0.7087195051
0.705,-13,0.759692475
0.705,-12,0.8108601134
0.705,-11,0.8622084041
0.705,-10,0.9137229559
0.705,-9,0.9653890284
0.705,-8,1.017191561
0.705,-7,1.069115201
0.705,-6,1.121144339
0.705,-5,1.173263134
0.705,-4,1.225455554
0.705,-3,1.277705405
0.705,-2,1.329996368
0.705,-1,1.382312035
0.705,0,1.434635942
0.705,1,1.486951608
0.705,2,1.539242572
0.705,3,1.591492423
0.705,4,1.643684842
0.705,5,1.695803638
0.705,6,1.747832775
0.705,7,1.799756416
0.705,8,1.851558948
0.705,9,1.90322502
0.705,10,1.954739572
0.705,11,2.006087863
0.705,12,2.057255501
0.705,13,2.108228471
0.705,14,2.158993158
0.705,15,2.209536369
0.705,16,2.25984536
0.705,17,2.30990785
0.705,18,2.359712039
0.705,19,2.409246629
0.705,20,2.45850083
0.705,21,2.507464376
0.705,22,2.556127533
0.705,23,2.604481105
0.705,24,2.65251644
0.705,25,2.700225435
0.705,26,2.747600532
0.705,27,2.79463472
0.705,28,2.841321532
0.705,29,2.88765504
0.705,30,2.933629846
0.7666666667,-30,-0.1175484447
0.7666666667,-29,-0.07358228613
0.7666666667,-28,-0.02925374776
0.7666666667,-27,0.01543170248
0.7666666667,-26,0.06046801078
0.7666666667,-25,0.1058485292
0.7666666667,-24,0.1515660092
0.7666666667,-23,0.1976125981
0.7666666667,-22,0.2439798364
0.7666666667,-21,0.2906586594
0.7666666667,-20,0.3376393997
0.7666666667,-19,0.3849117928
0.7666666667,-18,0.4324649856
0.7666666667,-17,0.480287547
0.7666666667,-16,0.5283674812
0.7666666667,-15,0.5766922441
0.7666666667,-14,0.625248761
0.7666666667,-13,0.6740234484
0.7666666667,-12,0.7230022368
0.7666666667,-11,0.7721705969
0.7666666667,-10,0.8215135673
0.7666666667,-9,0.8710157843
0.7666666667,-8,0.9206615144
0.7666666667,-7,0.9704346882
0.7666666667,-6,1.020318935
0.7666666667,-5,1.070297621
0.7666666667,-4,1.120353887
0.7666666667,-3,1.170470687
0.7666666667,-2,1.220630831
0.7666666667,-1,1.270817023
0.7666666667,0,1.321011905
0.7666666667,1,1.371198097
0.7666666667,2,1.421358241
0.7666666667,3,1.471475041
0.7666666667,4,1.521531307
0.7666666667,5,1.571509993
0.7666666667,6,1.62139424
0.7666666667,7,1.671167414
0.7666666667,8,1.720813144
0.7666666667,9,1.770315361
0.7666666667,10,1.819658332
0.7666666667,11,1.868826692
0.7666666667,12,1.91780548
0.7666666667,13,1.966580168
0.7666666667,14,2.015136684
0.7666666667,15,2.063461447
0.7666666667,16,2.111541382
0.7666666667,17,2.159363943
0.7666666667,18,2.206917136
0.7666666667,19,2.254189529
0.7666666667,20,2.301170269
0.7666666667,21,2.347849092
0.7666666667,22,2.39421633
0.7666666667,23,2.440262919
0.7666666667,24,2.485980399
0.7666666667,25,2.531360918
0.7666666667,26,2.576397226
0.7666666667,27,2.621082676
0.7666666667,28,2.665411215
0.7666666667,29,2.709377373
0.7666666667,30,2.752976259
0.8283333333,-30,-0.1549155629
0.8283333333,-29,-0.1130605985
0.8283333333,-28,-0.07083557487
0.8283333333,-27,-0.02824545415
0.8283333333,-26,0.01470417277
0.8283333333,-25,0.05800707388
0.8283333333,-24,0.101656366
0.8283333333,-23,0.1456445071
0.8283333333,-22,0.1899632916
0.8283333333,-21,0.2346038477
0.8283333333,-20,0.2795566383
0.8283333333,-19,0.3248114647
0.8283333333,-18,0.3703574732
0.8283333333,-17,0.4161831646
0.8283333333,-16,0.4622764074
0.8283333333,-15,0.508624454
0.8283333333,-14,0.5552139592
0.8283333333,-13,0.6020310028
0.8283333333,-12,0.6490611147
0.8283333333,-11,0.6962893025
0.8283333333,-10,0.7437000829
0.8283333333,-9,0.7912775142
0.8283333333,-8,0.8390052329
0.8283333333,-7,0.886866491
0.8283333333,-6,0.9348441967
0.8283333333,-5,0.9829209563
0.8283333333,-4,1.031079117
0.8283333333,-3,1.079300814
0.8283333333,-2,1.127568014
0.8283333333,-1,1.175862563
0.8283333333,0,1.224166237
0.8283333333,1,1.272460787
0.8283333333,2,1.320727987
0.8283333333,3,1.368949683
0.8283333333,4,1.417107844
0.8283333333,5,1.465184604
0.8283333333,6,1.51316231
0.8283333333,7,1.561023568
0.8283333333,8,1.608751286
0.8283333333,9,1.656328718
0.8283333333,10,1.703739498
0.8283333333,11,1.750967686
0.8283333333,12,1.797997798
0.8283333333,13,1.844814841
0.8283333333,14,1.891404347
0.8283333333,15,1.937752393
0.8283333333,16,1.983845636
0.8283333333,17,2.029671327
0.8283333333,18,2.075217336
0.8283333333,19,2.120472162
0.8283333333,20,2.165424953
0.8283333333,21,2.210065509
0.8283333333,22,2.254384293
0.8283333333,23,2.298372435
0.8283333333,24,2.342021727
0.8283333333,25,2.385324628
