gamma,q,spread
0.06753333333,30,1.013246838
0.08416666667,-30,1.009850193
0.08416666667,-29,1.010722958
0.08416666667,-28,1.011642564
0.08416666667,-27,1.01261237
0.08416666667,-26,1.013635991
0.08416666667,-25,1.014717297
0.08416666667,-24,1.015860415
0.08416666667,-23,1.017069725
0.08416666667,-22,1.018349833
0.08416666667,-21,1.019705537
0.08416666667,-20,1.021141759
0.08416666667,-19,1.022663443
0.08416666667,-18,1.024275407
0.08416666667,-17,1.025982127
0.08416666667,-16,1.027787431
0.08416666667,-15,1.029694076
0.08416666667,-14,1.031703181
0.08416666667,-13,1.033813467
0.08416666667,-12,1.036020279
0.08416666667,-11,1.038314347
0.08416666667,-10,1.040680301
0.08416666667,-9,1.043094956
0.08416666667,-8,1.045525529
0.08416666667,-7,1.047928018
0.08416666667,-6,1.050246216
0.08416666667,-5,1.052411958
0.08416666667,-4,1.054347352
0.08416666667,-3,1.055969614
0.08416666667,-2,1.057198665
0.08416666667,-1,1.057966734
0.08416666667,0,1.058228141
0.08416666667,1,1.057966734
0.08416666667,2,1.057198665
0.08416666667,3,1.055969614
0.08416666667,4,1.054347352
0.08416666667,5,1.052411958
0.08416666667,6,1.050246216
0.08416666667,7,1.047928018
0.08416666667,8,1.045525529
0.08416666667,9,1.043094956
0.08416666667,10,1.040680301
0.08416666667,11,1.038314347
0.08416666667,12,1.036020279
0.08416666667,13,1.033813467
0.08416666667,14,1.031703181
0.08416666667,15,1.029694076
0.08416666667,16,1.027787431
0.08416666667,17,1.025982127
0.08416666667,18,1.024275407
0.08416666667,19,1.022663443
0.08416666667,20,1.021141759
0.08416666667,21,1.019705537
0.08416666667,22,1.018349833
0.08416666667,23,1.017069725
0.08416666667,24,1.015860415
0.08416666667,25,1.014717297
0.08416666667,26,1.013635991
0.08416666667,27,1.01261237
0.08416666667,28,1.011642564
0.08416666667,29,1.010722958
0.08416666667,30,1.009850193
0.1008,-30,1.0063272
0.1008,-29,1.007235208
0.1008,-28,1.008194217
0.1008,-27,1.009208187
0.1008,-26,1.01028143
0.1008,-25,1.01141863
0.1008,-24,1.012624868
0.1008,-23,1.013905636
0.1008,-22,1.015266847
0.1008,-21,1.016714823
0.1008,-20,1.018256272
0.1008,-19,1.019898218
0.1008,-18,1.021647898
0.1008,-17,1.023512576
0.1008,-16,1.02549927
0.1008,-15,1.027614335
0.1008,-14,1.02986286
0.1008,-13,1.032247818
0.1008,-12,1.034768887
0.1008,-11,1.037420854
