tau,q,bid_depth
70,-4,0.4000902576
70,-3,0.4282312696
70,-2,0.4564209021
70,-1,0.4846398096
70,0,0.5128684926
70,1,0.5410874002
70,2,0.5692770326
70,3,0.5974180446
70,4,0.6254913455
70,5,0.6534781967
70,6,0.6813603039
70,7,0.7091199043
70,8,0.736739847
70,9,0.7642036655
70,10,0.7914956424
70,11,0.8186008652
70,12,0.8455052735
70,13,0.8721956963
70,14,0.8986598808
70,15,0.9248865121
70,16,0.9508652237
70,17,0.9765866008
70,18,1.002042175
70,19,1.027224411
70,20,1.052126691
70,21,1.076743287
70,22,1.101069335
70,23,1.125100799
70,24,1.148834437
70,25,1.172267758
70,26,1.195398985
70,27,1.218227009
70,28,1.240751346
70,29,1.262972094
70,30,1.284889888
80,-30,-0.2780745475
80,-29,-0.2557367749
80,-28,-0.2330761922
80,-27,-0.21009184
80,-26,-0.1867833733
80,-25,-0.1631511153
80,-24,-0.1391961123
80,-23,-0.1149201881
80,-22,-0.09032599779
80,-21,-0.06541707879
80,-20,-0.04019790066
80,-19,-0.01467391041
80,-18,0.01114842638
80,-17,0.03726158997
80,-16,0.06365697755
80,-15,0.09032488177
80,-14,0.117254478
80,-13,0.1444338207
80,-12,0.1718498507
80,-11,0.1994884125
80,-10,0.2273342838
80,-9,0.2553712162
80,-8,0.2835819882
80,-7,0.3119484694
80,-6,0.3404516966
80,-5,0.3690719602
80,-4,0.3977889009
80,-3,0.4265816147
80,-2,0.4554287658
80,-1,0.4843087057
80,0,0.5131995965
80,1,0.5420795364
80,2,0.5709266875
80,3,0.5997194013
80,4,0.628436342
80,5,0.6570566056
80,6,0.6855598328
80,7,0.713926314
80,8,0.742137086
80,9,0.7701740184
80,10,0.7980198897
80,11,0.8256584515
80,12,0.8530744815
80,13,0.8802538242
80,14,0.9071834204
80,15,0.9338513247
80,16,0.9602467122
80,17,0.9863598758
80,18,1.012182213
80,19,1.037706203
80,20,1.062925381
80,21,1.0878343
80,22,1.11242849
80,23,1.136704414
80,24,1.160659417
80,25,1.184291676
80,26,1.207600142
80,27,1.230584494
80,28,1.253245077
80,29,1.27558285
80,30,1.297599332
90,-30,-0.2868769065
90,-29,-0.2644730941
90,-28,-0.2417327307
90,-27,-0.2186541472
90,-26,-0.1952363067
90,-25,-0.1714788676
90,-24,-0.1473822467
90,-23,-0.1229476836
90,-22,-0.09817730435
90,-21,-0.07307418346
90,-20,-0.04764240404
90,-19,-0.02188711403
90,-18,0.004185422125
90,-17,0.03056777774
90,-16,0.05725132548
90,-15,0.08422620738
90,-14,0.1114813147
90,-13,0.1390042785
90,-12,0.1667814726
90,-11,0.1947980288
90,-10,0.2230378659
90,-9,0.2514837329
90,-8,0.2801172659
90,-7,0.3089190596
90,-6,0.3378687517
90,-5,0.3669451214
90,-4,0.3961261987
90,-3,0.4253893854
90,-2,0.4547115844
90,-1,0.484069337
90,0,0.5134389652
90,1,0.5427967178
90,2,0.5721189168
90,3,0.6013821035
90,4,0.6305631808
90,5,0.6596395505
90,6,0.6885892426
90,7,0.7173910363
90,8,0.7460245693
90,9,0.7744704363
90,10,0.8027102734
90,11,0.8307268296
90,12,0.8585040237
90,13,0.8860269875
90,14,0.9132820948
90,15,0.9402569767
90,16,0.9669405245
90,17,0.9933228801
90,18,1.019395416
90,19,1.045150706
90,20,1.070582486
90,21,1.095685607
90,22,1.120455986
90,23,1.144890549
90,24,1.16898717
90,25,1.192744609
90,26,1.216162449
90,27,1.239241033
90,28,1.261981396
90,29,1.284385209
90,30,1.306454711
100,-30,-0.2932099805
100,-29,-0.2707681679
100,-28,-0.2479797542
100,-27,-0.2248424914
100,-26,-0.2013547738
100,-25,-0.1775157068
100,-24,-0.1533251783
100,-23,-0.1287839303
100,-22,-0.1038936314
100,-21,-0.07865694751
100,-20,-0.05307761086
100,-19,-0.02716048576
100,-18,-0.0009116291608
100,-17,0.02566165478
100,-16,0.05255076797
100,-15,0.07974578091
100,-14,0.1072354059
100,-13,0.1350069826
100,-12,0.1630464764
100,-11,0.1913384919
100,-10,0.2198663017
100,-9,0.2486118899
