tau,q,spread
120,-22,1.02024444
120,-21,1.020506041
120,-20,1.020764173
120,-19,1.021018055
120,-18,1.021266863
120,-17,1.021509735
120,-16,1.021745776
120,-15,1.02197406
120,-14,1.022193643
120,-13,1.022403562
120,-12,1.022602852
120,-11,1.022790552
120,-10,1.022965714
120,-9,1.02312742
120,-8,1.023274786
120,-7,1.023406982
120,-6,1.023523238
120,-5,1.023622861
120,-4,1.023705241
120,-3,1.023769864
120,-2,1.023816322
120,-1,1.023844318
120,0,1.02385367
120,1,1.023844318
120,2,1.023816322
120,3,1.023769864
120,4,1.023705241
120,5,1.023622861
120,6,1.023523238
120,7,1.023406982
120,8,1.023274786
120,9,1.02312742
120,10,1.022965714
120,11,1.022790552
120,12,1.022602852
120,13,1.022403562
120,14,1.022193643
120,15,1.02197406
120,16,1.021745776
120,17,1.021509735
120,18,1.021266863
120,19,1.021018055
120,20,1.020764173
120,21,1.020506041
120,22,1.02024444
120,23,1.019980108
120,24,1.019713738
120,25,1.019445972
120,26,1.01917741
120,27,1.018908604
120,28,1.01864006
120,29,1.018372239
120,30,1.018105561
130,-30,1.018106299
130,-29,1.018373159
130,-28,1.018641173
130,-27,1.018909922
130,-26,1.019178944
130,-25,1.019447732
130,-24,1.019715734
130,-23,1.019982352
130,-22,1.02024694
130,-21,1.020508806
130,-20,1.020767212
130,-19,1.021021374
130,-18,1.021270468
130,-17,1.02151363
130,-16,1.021749963
130,-15,1.021978539
130,-14,1.022198412
130,-13,1.022408618
130,-12,1.022608188
130,-11,1.022796159
130,-10,1.022971581
130,-9,1.023133531
130,-8,1.023281125
130,-7,1.023413529
130,-6,1.023529972
130,-5,1.023629756
130,-4,1.023712271
130,-3,1.023777002
130,-2,1.023823538
130,-1,1.02385158
130,0,1.023860948
130,1,1.02385158
130,2,1.023823538
130,3,1.023777002
130,4,1.023712271
130,5,1.023629756
130,6,1.023529972
130,7,1.023413529
130,8,1.023281125
130,9,1.023133531
130,10,1.022971581
130,11,1.022796159
130,12,1.022608188
130,13,1.022408618
130,14,1.022198412
130,15,1.021978539
130,16,1.021749963
130,17,1.02151363
130,18,1.021270468
130,19,1.021021374
130,20,1.020767212
130,21,1.020508806
130,22,1.02024694
130,23,1.019982352
130,24,1.019715734
130,25,1.019447732
130,26,1.019178944
130,27,1.018909922
130,28,1.018641173
130,29,1.018373159
130,30,1.018106299
140,-30,1.018106668
140,-29,1.018373621
140,-28,1.018641733
140,-27,1.018910585
140,-26,1.019179715
140,-25,1.019448618
140,-24,1.01971674
140,-23,1.019983482
140,-22,1.0202482
140,-21,1.020510201
140,-20,1.020768745
140,-19,1.021023048
140,-18,1.021272287
140,-17,1.021515595
140,-16,1.021752076
140,-15,1.0219808
140,-14,1.02220082
