gamma,q,spread
0.08416666667,28,2.197046782
0.08416666667,29,2.194799017
0.08416666667,30,2.192682485
0.1008,-30,2.175291312
0.1008,-29,2.177454547
0.1008,-28,2.179754429
0.1008,-27,2.182203898
0.1008,-26,2.184817512
0.1008,-25,2.187611692
0.1008,-24,2.190605009
0.1008,-23,2.193818527
0.1008,-22,2.197276192
0.1008,-21,2.201005302
0.1008,-20,2.205037039
0.1008,-19,2.209407097
0.1008,-18,2.214156391
0.1008,-17,2.219331847
0.1008,-16,2.224987268
0.1008,-15,2.231184198
0.1008,-14,2.237992708
0.1008,-13,2.245491875
0.1008,-12,2.253769592
0.1008,-11,2.262921017
0.1008,-10,2.273044484
0.1008,-9,2.284232807
0.1008,-8,2.296556627
0.1008,-7,2.310034464
0.1008,-6,2.324581972
0.1008,-5,2.339931969
0.1008,-4,2.35552224
0.1008,-3,2.37037116
0.1008,-2,2.383017304
0.1008,-1,2.391678992
0.1008,0,2.394780374
0.1008,1,2.391678992
0.1008,2,2.383017304
0.1008,3,2.37037116
0.1008,4,2.35552224
0.1008,5,2.339931969
0.1008,6,2.324581972
0.1008,7,2.310034464
0.1008,8,2.296556627
0.1008,9,2.284232807
0.1008,10,2.273044484
0.1008,11,2.262921017
0.1008,12,2.253769592
0.1008,13,2.245491875
0.1008,14,2.237992708
0.1008,15,2.231184198
0.1008,16,2.224987268
0.1008,17,2.219331847
0.1008,18,2.214156391
0.1008,19,2.209407097
0.1008,20,2.205037039
0.1008,21,2.201005302
0.1008,22,2.197276192
0.1008,23,2.193818527
0.1008,24,2.190605009
0.1008,25,2.187611692
0.1008,26,2.184817512
0.1008,27,2.182203898
0.1008,28,2.179754429
0.1008,29,2.177454547
0.1008,30,2.175291312
0.1174333333,-30,2.158150108
0.1174333333,-29,2.160349171
0.1174333333,-28,2.162689074
0.1174333333,-27,2.165183417
0.1174333333,-26,2.167847551
0.1174333333,-25,2.17069885
0.1174333333,-24,2.173757042
0.1174333333,-23,2.177044597
0.1174333333,-22,2.180587189
0.1174333333,-21,2.184414247
0.1174333333,-20,2.188559604
0.1174333333,-19,2.193062266
0.1174333333,-18,2.197967326
0.1174333333,-17,2.203327017
0.1174333333,-16,2.209201921
0.1174333333,-15,2.215662319
0.1174333333,-14,2.222789601
0.1174333333,-13,2.230677599
0.1174333333,-12,2.239433512
0.1174333333,-11,2.249177797
0.1174333333,-10,2.260041811
0.1174333333,-9,2.272161015
0.1174333333,-8,2.28565975
0.1174333333,-7,2.300620787
0.1174333333,-6,2.317028685
0.1174333333,-5,2.334671695
0.1174333333,-4,2.352987988
0.1174333333,-3,2.370864984
0.1174333333,-2,2.386478894
0.1174333333,-1,2.397414139
0.1174333333,0,2.401382807
0.1174333333,1,2.397414139
0.1174333333,2,2.386478894
0.1174333333,3,2.370864984
0.1174333333,4,2.352987988
0.1174333333,5,2.334671695
0.1174333333,6,2.317028685
0.1174333333,7,2.300620787
0.1174333333,8,2.28565975
0.1174333333,9,2.272161015
0.1174333333,10,2.260041811
0.1174333333,11,2.249177797
0.1174333333,12,2.239433512
0.1174333333,13,2.230677599
0.1174333333,14,2.222789601
0.1174333333,15,2.215662319
0.1174333333,16,2.209201921
0.1174333333,17,2.203327017
0.1174333333,18,2.197967326
0.1174333333,19,2.193062266
0.1174333333,20,2.188559604
0.1174333333,21,2.184414247
0.1174333333,22,2.180587189
0.1174333333,23,2.177044597
