time,glft_blind_mean_pnl,yaware_hjb_mean_pnl,glft_blind_mean_penalty,yaware_hjb_mean_penalty
4473.05,1080.352699,939.7858438,697.7351287,85.84659316
4474.05,1080.640859,940.0213985,697.893425,85.86604481
4475.05,1080.882881,940.2288734,698.0517843,85.88549499
4476.05,1081.103668,940.4249933,698.2101806,85.90495793
4477.05,1081.322595,940.6230721,698.3684942,85.9244178
4478.05,1081.592339,940.8385633,698.526732,85.9438765
4479.05,1081.797367,941.0310513,698.6849987,85.96332714
4480.05,1081.986953,941.2302408,698.8433339,85.98275824
4481.05,1082.210658,941.4233725,699.0016728,86.00218756
4482.05,1082.43713,941.6277271,699.1601063,86.02164633
4483.05,1082.696352,941.8459379,699.3185064,86.04112793
4484.05,1082.984617,942.0792485,699.476881,86.06060543
4485.05,1083.140933,942.2710519,699.635286,86.08009844
4486.05,1083.374008,942.4855406,699.7936529,86.09957856
4487.05,1083.619322,942.7075156,699.9519229,86.1190543
4488.05,1083.886934,942.9374833,700.1101958,86.13853043
4489.05,1084.127731,943.1548347,700.2685649,86.1580024
4490.05,1084.403447,943.3763377,700.4269327,86.17746734
4491.05,1084.683874,943.5930926,700.5853256,86.19695815
4492.05,1084.882199,943.7940906,700.74373,86.21642148
4493.05,1085.079279,943.9835842,700.9022546,86.23582451
4494.05,1085.360342,944.2048507,701.0607677,86.25520917
4495.05,1085.631734,944.423135,701.2191864,86.27460118
4496.05,1085.868432,944.634393,701.3775849,86.29400582
4497.05,1086.091349,944.8245546,701.5360161,86.31342111
4498.05,1086.37667,945.0483033,701.6945018,86.33284633
4499.05,1086.621305,945.2477235,701.8529927,86.35229288
4500.05,1086.861481,945.4601944,702.0115967,86.37172524
4501.05,1087.073768,945.661322,702.1702134,86.39115043
4502.05,1087.265948,945.8410484,702.3288876,86.41057718
4503.05,1087.564829,946.0700536,702.4877377,86.43001023
4504.05,1087.833278,946.2856338,702.6467021,86.44948469
4505.05,1087.996405,946.4636922,702.8058089,86.46900257
4506.05,1088.237095,946.6718415,702.965004,86.4885531
4507.05,1088.486489,946.8812641,703.1243167,86.50811041
4508.05,1088.682413,947.0750369,703.2837001,86.52768552
4509.05,1088.931542,947.2855147,703.4430924,86.54726691
4510.05,1089.264697,947.5272808,703.6024729,86.56682221
4511.05,1089.443072,947.7193745,703.7618951,86.58638697
4512.05,1089.746659,947.9460345,703.9214555,86.60595757
4513.05,1090.034361,948.1578629,704.081171,86.62553013
4514.05,1090.271911,948.3561623,704.2409531,86.64510706
4515.05,1090.578829,948.5841743,704.4006926,86.66469282
