tau,q,spread
120,-22,1.022542764
120,-21,1.022907818
120,-20,1.023269713
120,-19,1.023627224
120,-18,1.023979051
120,-17,1.024323825
120,-16,1.024660117
120,-15,1.02498645
120,-14,1.025301308
120,-13,1.025603153
120,-12,1.025890436
120,-11,1.026161622
120,-10,1.026415201
120,-9,1.026649708
120,-8,1.026863744
120,-7,1.027055996
120,-6,1.027225253
120,-5,1.027370423
120,-4,1.027490555
120,-3,1.027584847
120,-2,1.027652662
120,-1,1.027693538
120,0,1.027707195
120,1,1.027693538
120,2,1.027652662
120,3,1.027584847
120,4,1.027490555
120,5,1.027370423
120,6,1.027225253
120,7,1.027055996
120,8,1.026863744
120,9,1.026649708
120,10,1.026415201
120,11,1.026161622
120,12,1.025890436
120,13,1.025603153
120,14,1.025301308
120,15,1.02498645
120,16,1.024660117
120,17,1.024323825
120,18,1.023979051
120,19,1.023627224
120,20,1.023269713
120,21,1.022907818
120,22,1.022542764
120,23,1.022175696
120,24,1.021807678
120,25,1.021439685
120,26,1.021072612
120,27,1.020707267
120,28,1.020344377
120,29,1.019984591
120,30,1.019628481
130,-30,1.019631275
130,-29,1.019991446
130,-28,1.020355604
130,-27,1.020723179
130,-26,1.021093525
130,-25,1.02146591
130,-24,1.021839518
130,-23,1.022213445
130,-22,1.022586696
130,-21,1.022958187
130,-20,1.023326747
130,-19,1.023691117
130,-18,1.024049959
130,-17,1.02440186
130,-16,1.024745344
130,-15,1.025078879
130,-14,1.025400891
130,-13,1.025709781
130,-12,1.026003939
130,-11,1.026281762
130,-10,1.026541674
130,-9,1.026782147
130,-8,1.027001718
130,-7,1.027199014
130,-6,1.027372766
130,-5,1.027521834
130,-4,1.027645219
130,-3,1.027742082
130,-2,1.027811756
130,-1,1.027853756
130,0,1.027867789
130,1,1.027853756
130,2,1.027811756
130,3,1.027742082
130,4,1.027645219
130,5,1.027521834
130,6,1.027372766
130,7,1.027199014
130,8,1.027001718
130,9,1.026782147
130,10,1.026541674
130,11,1.026281762
130,12,1.026003939
130,13,1.025709781
130,14,1.025400891
130,15,1.025078879
130,16,1.024745344
130,17,1.02440186
130,18,1.024049959
130,19,1.023691117
130,20,1.023326747
130,21,1.022958187
130,22,1.022586696
130,23,1.022213445
130,24,1.021839518
130,25,1.02146591
130,26,1.021093525
130,27,1.020723179
130,28,1.020355604
130,29,1.019991446
130,30,1.019631275
140,-30,1.019631563
140,-29,1.019994877
140,-28,1.020362431
140,-27,1.020733661
140,-26,1.02110792
140,-25,1.021484475
140,-24,1.021862506
140,-23,1.022241099
140,-22,1.022619248
140,-21,1.022995851
140,-20,1.023369715
140,-19,1.023739555
140,-18,1.024104004
140,-17,1.024461612
140,-16,1.024810863
140,-15,1.025150181
140,-14,1.025477947
140,-13,1.02579251
140,-12,1.026092207
140,-11,1.026375383
140,-10,1.026640408
140,-9,1.0268857
140,-8,1.027109744
140,-7,1.027311116
140,-6,1.027488504
140,-5,1.027640724
140,-4,1.02776674
140,-3,1.027865683
140,-2,1.027936861
140,-1,1.027979771
140,0,1.027994108
140,1,1.027979771
140,2,1.027936861
140,3,1.027865683
140,4,1.02776674
140,5,1.027640724
140,6,1.027488504
140,7,1.027311116
140,8,1.027109744
140,9,1.0268857
140,10,1.026640408
140,11,1.026375383
140,12,1.026092207
140,13,1.02579251
140,14,1.025477947
140,15,1.025150181
140,16,1.024810863
140,17,1.024461612
140,18,1.024104004
140,19,1.023739555
140,20,1.023369715
140,21,1.022995851
140,22,1.022619248
140,23,1.022241099
140,24,1.021862506
140,25,1.021484475
140,26,1.02110792
140,27,1.020733661
140,28,1.020362431
140,29,1.019994877
140,30,1.019631563
150,-30,1.019630474
150,-29,1.019996242
150,-28,1.020366458
150,-27,1.020740561
150,-26,1.021117907
150,-25,1.021497761
150,-24,1.021879301
150,-23,1.022261606
150,-22,1.02264366
150,-21,1.023024348
150,-20,1.02340246
150,-19,1.02377669
150,-18,1.024145645
150,-17,1.024507847
150,-16,1.024861748
150,-15,1.025205735
150,-14,1.02553815
150,-13,1.025857301
150,-12,1.026161483
150,-11,1.026448995
150,-10,1.026718163
150,-9,1.026967361
150,-8,1.027195033
150,-7,1.027399713
150,-6,1.02758005
150,-5,1.027734828
150,-4,1.02786298
150,-3,1.027963612
150,-2,1.02803601
150,-1,1.028079659
150,0,1.028094243
150,1,1.028079659
150,2,1.02803601
150,3,1.027963612
150,4,1.02786298
150,5,1.027734828
150,6,1.02758005
150,7,1.027399713
150,8,1.027195033
150,9,1.026967361
150,10,1.026718163
150,11,1.026448995
150,12,1.026161483
150,13,1.025857301
150,14,1.02553815
150,15,1.025205735
150,16,1.024861748
150,17,1.024507847
150,18,1.024145645
150,19,1.02377669
150,20,1.02340246
150,21,1.023024348
150,22,1.02264366
150,23,1.022261606
150,24,1.021879301
150,25,1.021497761
150,26,1.021117907
150,27,1.020740561
150,28,1.020366458
150,29,1.019996242
150,30,1.019630474
160,-30,1.019628684
160,-29,1.019996381
160,-28,1.020368697
160,-27,1.020745074
160,-26,1.021124869
160,-25,1.021507349
160,-24,1.021891688
160,-23,1.022276962
160,-22,1.022662146
160,-21,1.023046115
160,-20,1.023427645
160,-19,1.023805414
160,-18,1.024178007
160,-17,1.024543923
160,-16,1.024901587
160,-15,1.025249357
160,-14,1.025585542
160,-13,1.025908417
160,-12,1.02621624
160,-11,1.026507275
160,-10,1.026779811
160,-9,1.027032186
160,-8,1.027262808
160,-7,1.027470178
160,-6,1.027652915
160,-5,1.027809774
160,-4,1.027939664
160,-3,1.028041669
160,-2,1.02811506
160,-1,1.02815931
160,0,1.028174095
160,1,1.02815931
160,2,1.02811506
160,3,1.028041669
160,4,1.027939664
160,5,1.027809774
160,6,1.027652915
160,7,1.027470178
160,8,1.027262808
160,9,1.027032186
160,10,1.026779811
160,11,1.026507275
160,12,1.02621624
160,13,1.025908417
160,14,1.025585542
160,15,1.025249357
160,16,1.024901587
160,17,1.024543923
160,18,1.024178007
160,19,1.023805414
160,20,1.023427645
160,21,1.023046115
160,22,1.022662146
160,23,1.022276962
160,24,1.021891688
160,25,1.021507349
160,26,1.021124869
160,27,1.020745074
160,28,1.020368697
160,29,1.019996381
160,30,1.019628684
170,-30,1.019626596
170,-29,1.019995818
170,-28,1.020369799
170,-27,1.020747985
170,-26,1.021129733
170,-25,1.021514313
170,-24,1.021900895
170,-23,1.022288553
170,-22,1.022676256
170,-21,1.02306287
170,-20,1.023447161
170,-19,1.023827791
170,-18,1.02420333
170,-17,1.024572258
170,-16,1.024932976
170,-15,1.02528382
170,-14,1.02562307
170,-13,1.025948974
170,-12,1.026259762
170,-11,1.026553666
170,-10,1.026828945
170,-9,1.027083908
170,-8,1.027316933
170,-7,1.027526496
170,-6,1.027711189
170,-5,1.027869743
170,-4,1.028001048
170,-3,1.028104173
170,-2,1.028178374
170,-1,1.028223112
170,0,1.028238062
170,1,1.028223112
170,2,1.028178374
170,3,1.028104173
170,4,1.028001048
170,5,1.027869743
170,6,1.027711189
170,7,1.027526496
170,8,1.027316933
170,9,1.027083908
170,10,1.026828945
170,11,1.026553666
170,12,1.026259762
170,13,1.025948974
170,14,1.02562307
170,15,1.02528382
170,16,1.024932976
170,17,1.024572258
170,18,1.02420333
170,19,1.023827791
170,20,1.023447161
170,21,1.02306287
170,22,1.022676256
170,23,1.022288553
170,24,1.021900895
170,25,1.021514313
170,26,1.021129733
170,27,1.020747985
170,28,1.020369799
170,29,1.019995818
170,30,1.019626596
180,-30,1.01962445
180,-29,1.019994883
180,-28,1.02037019
180,-27,1.020749819
180,-26,1.021133131
180,-25,1.021519395
180,-24,1.021907781
180,-23,1.022297359
180,-22,1.022687095
180,-21,1.023075848
180,-20,1.023462373
180,-19,1.023845324
180,-18,1.024223254
180,-17,1.024594629
180,-16,1.024957832
180,-15,1.025311177
180,-14,1.025652925
180,-13,1.025981298
180,-12,1.026294502
180,-11,1.026590745
180,-10,1.026868262
180,-9,1.027125336
180,-8,1.027360323
180,-7,1.027571674
180,-6,1.027757962
180,-5,1.027917899
180,-4,1.02805036
180,-3,1.028154397
180,-2,1.028229258
180,-1,1.028274396
180,0,1.028289479
180,1,1.028274396
180,2,1.028229258
180,3,1.028154397
180,4,1.02805036
180,5,1.027917899
180,6,1.027757962
180,7,1.027571674
180,8,1.027360323
180,9,1.027125336
180,10,1.026868262
180,11,1.026590745
