tau,q,bid_depth
5.000000000000000000e+02,-1.900000000000000000e+01,-4.538418970674040764e-02
5.000000000000000000e+02,-1.800000000000000000e+01,-1.859208723820415798e-02
5.000000000000000000e+02,-1.700000000000000000e+01,8.582122305154982200e-03
5.000000000000000000e+02,-1.600000000000000000e+01,3.613046491267590810e-02
5.000000000000000000e+02,-1.500000000000000000e+01,6.404318685778953579e-02
5.000000000000000000e+02,-1.400000000000000000e+01,9.230869242232131455e-02
5.000000000000000000e+02,-1.300000000000000000e+01,1.209135005274384334e-01
5.000000000000000000e+02,-1.200000000000000000e+01,1.498422226652085243e-01
5.000000000000000000e+02,-1.100000000000000000e+01,1.790775641026045584e-01
5.000000000000000000e+02,-1.000000000000000000e+01,2.086003498213810925e-01
5.000000000000000000e+02,-9.000000000000000000e+00,2.383895760868532943e-01
5.000000000000000000e+02,-8.000000000000000000e+00,2.684224879334412561e-01
5.000000000000000000e+02,-7.000000000000000000e+00,2.986746822412532643e-01
5.000000000000000000e+02,-6.000000000000000000e+00,3.291202354788820283e-01
5.000000000000000000e+02,-5.000000000000000000e+00,3.597318546224598235e-01
5.000000000000000000e+02,-4.000000000000000000e+00,3.904810492442149505e-01
5.000000000000000000e+02,-3.000000000000000000e+00,4.213383223052838411e-01
5.000000000000000000e+02,-2.000000000000000000e+00,4.522733767942078154e-01
5.000000000000000000e+02,-1.000000000000000000e+00,4.832553350280640037e-01
5.000000000000000000e+02,0.000000000000000000e+00,5.142529671797542168e-01
5.000000000000000000e+02,1.000000000000000000e+00,5.452349254136104051e-01
5.000000000000000000e+02,2.000000000000000000e+00,5.761699799025346014e-01
5.000000000000000000e+02,3.000000000000000000e+00,6.070272529636036030e-01
5.000000000000000000e+02,4.000000000000000000e+00,6.377764475853584525e-01
5.000000000000000000e+02,5.000000000000000000e+00,6.683880667289354705e-01
5.000000000000000000e+02,6.000000000000000000e+00,6.988336199665626802e-01
5.000000000000000000e+02,7.000000000000000000e+00,7.290858142743747994e-01
5.000000000000000000e+02,8.000000000000000000e+00,7.591187261209614290e-01
5.000000000000000000e+02,9.000000000000000000e+00,7.889079523864312993e-01
5.000000000000000000e+02,1.000000000000000000e+01,8.184307381052100538e-01
5.000000000000000000e+02,1.100000000000000000e+01,8.476660795426063100e-01
5.000000000000000000e+02,1.200000000000000000e+01,8.765948016803757348e-01
5.000000000000000000e+02,1.300000000000000000e+01,9.051996097854968504e-01
5.000000000000000000e+02,1.400000000000000000e+01,9.334651153500272969e-01
5.000000000000000000e+02,1.500000000000000000e+01,9.613778372951453655e-01
5.000000000000000000e+02,1.600000000000000000e+01,9.889261799026658473e-01
5.000000000000000000e+02,1.700000000000000000e+01,1.016100389446021879e+00
5.000000000000000000e+02,1.800000000000000000e+01,1.042892491914560793e+00
5.000000000000000000e+02,1.900000000000000000e+01,1.069296214540604417e+00
5.000000000000000000e+02,2.000000000000000000e+01,1.095306894035530831e+00
5.000000000000000000e+02,2.100000000000000000e+01,1.120921374515043922e+00
5.000000000000000000e+02,2.200000000000000000e+01,1.146137898051672543e+00
5.000000000000000000e+02,2.300000000000000000e+01,1.170955990646095124e+00
5.000000000000000000e+02,2.400000000000000000e+01,1.195376346179124027e+00
5.000000000000000000e+02,2.500000000000000000e+01,1.219400710614856109e+00
5.000000000000000000e+02,2.600000000000000000e+01,1.243031768396473780e+00
5.000000000000000000e+02,2.700000000000000000e+01,1.266273032631495710e+00
5.000000000000000000e+02,2.800000000000000000e+01,1.289128740322329492e+00
5.000000000000000000e+02,2.900000000000000000e+01,1.311603753574388520e+00
5.000000000000000000e+02,3.000000000000000000e+01,1.333703467421061717e+00
6.667500000000000000e+02,-3.000000000000000000e+01,-3.140988822209394016e-01
6.667500000000000000e+02,-2.900000000000000000e+01,-2.916238968441451362e-01
6.667500000000000000e+02,-2.800000000000000000e+01,-2.687682115213014811e-01
6.667500000000000000e+02,-2.700000000000000000e+01,-2.455269634346084473e-01
6.667500000000000000e+02,-2.600000000000000000e+01,-2.218959148370416301e-01
6.667500000000000000e+02,-2.500000000000000000e+01,-1.978715518519855721e-01
6.667500000000000000e+02,-2.400000000000000000e+01,-1.734511892524945864e-01
6.667500000000000000e+02,-2.300000000000000000e+01,-1.486330802879578528e-01
6.667500000000000000e+02,-2.200000000000000000e+01,-1.234165303022383142e-01
6.667500000000000000e+02,-2.100000000000000000e+01,-9.780201254638143382e-02
6.667500000000000000e+02,-2.000000000000000000e+01,-7.179128424390412988e-02
6.667500000000000000e+02,-1.900000000000000000e+01,-4.538750063765739640e-02
6.667500000000000000e+02,-1.800000000000000000e+01,-1.859532445593181649e-02
6.667500000000000000e+02,-1.700000000000000000e+01,8.578971994796624756e-03
6.667500000000000000e+02,-1.600000000000000000e+01,3.612741504905692125e-02
6.667500000000000000e+02,-1.500000000000000000e+01,6.404025119464318294e-02
6.667500000000000000e+02,-1.400000000000000000e+01,9.230588478488543913e-02
6.667500000000000000e+02,-1.300000000000000000e+01,1.209108346607390416e-01
6.667500000000000000e+02,-1.200000000000000000e+01,1.498397120771972624e-01
6.667500000000000000e+02,-1.100000000000000000e+01,1.790752219058173722e-01
6.667500000000000000e+02,-1.000000000000000000e+01,2.085981885768282140e-01
6.667500000000000000e+02,-9.000000000000000000e+00,2.383876076534323651e-01
6.667500000000000000e+02,-8.000000000000000000e+00,2.684207233258734115e-01
6.667500000000000000e+02,-7.000000000000000000e+00,2.986731314989315988e-01
6.667500000000000000e+02,-6.000000000000000000e+00,3.291189075475517978e-01
6.667500000000000000e+02,-5.000000000000000000e+00,3.597307572501309281e-01
6.667500000000000000e+02,-4.000000000000000000e+00,3.904801888922470599e-01
6.667500000000000000e+02,-3.000000000000000000e+00,4.213377040752507297e-01
6.667500000000000000e+02,-2.000000000000000000e+00,4.522730043708673153e-01
6.667500000000000000e+02,-1.000000000000000000e+00,4.832552106385816226e-01
6.667500000000000000e+02,0.000000000000000000e+00,5.142530915692370419e-01
6.667500000000000000e+02,1.000000000000000000e+00,5.452352978369513492e-01
6.667500000000000000e+02,2.000000000000000000e+00,5.761705981325678794e-01
6.667500000000000000e+02,3.000000000000000000e+00,6.070281133155721598e-01
6.667500000000000000e+02,4.000000000000000000e+00,6.377775449576877920e-01
6.667500000000000000e+02,5.000000000000000000e+00,6.683893946602655900e-01
6.667500000000000000e+02,6.000000000000000000e+00,6.988351707088849007e-01
6.667500000000000000e+02,7.000000000000000000e+00,7.290875788819423109e-01
6.667500000000000000e+02,8.000000000000000000e+00,7.591206945543816920e-01
6.667500000000000000e+02,9.000000000000000000e+00,7.889101136309843998e-01
6.667500000000000000e+02,1.000000000000000000e+01,8.184330803019963518e-01
6.667500000000000000e+02,1.100000000000000000e+01,8.476685901306195703e-01
6.667500000000000000e+02,1.200000000000000000e+01,8.765974675470751265e-01
6.667500000000000000e+02,1.300000000000000000e+01,9.052024174229345022e-01
6.667500000000000000e+02,1.400000000000000000e+01,9.334680510131700970e-01
6.667500000000000000e+02,1.500000000000000000e+01,9.613808871587652405e-01
6.667500000000000000e+02,1.600000000000000000e+01,9.889293302130197638e-01
6.667500000000000000e+02,1.700000000000000000e+01,1.016103626663753090e+00
6.667500000000000000e+02,1.800000000000000000e+01,1.042895802845474229e+00
6.667500000000000000e+02,1.900000000000000000e+01,1.069299586451720963e+00
6.667500000000000000e+02,2.000000000000000000e+01,1.095310314754200043e+00
6.667500000000000000e+02,2.100000000000000000e+01,1.120924832510054259e+00
6.667500000000000000e+02,2.200000000000000000e+01,1.146141382495774685e+00
6.667500000000000000e+02,2.300000000000000000e+01,1.170959491460319413e+00
6.667500000000000000e+02,2.400000000000000000e+01,1.195379854059801517e+00
6.667500000000000000e+02,2.500000000000000000e+01,1.219404217044855798e+00
6.667500000000000000e+02,2.600000000000000000e+01,1.243035265642424392e+00
6.667500000000000000e+02,2.700000000000000000e+01,1.266276513729120978e+00
6.667500000000000000e+02,2.800000000000000000e+01,1.289132199051969963e+00
6.667500000000000000e+02,2.900000000000000000e+01,1.311607184428757122e+00
6.667500000000000000e+02,3.000000000000000000e+01,1.333706865567306110e+00
8.332500000000000000e+02,-3.000000000000000000e+01,-3.140989820919184439e-01
8.332500000000000000e+02,-2.900000000000000000e+01,-2.916239975644412397e-01
8.332500000000000000e+02,-2.800000000000000000e+01,-2.687683129316926767e-01
8.332500000000000000e+02,-2.700000000000000000e+01,-2.455270653548087267e-01
8.332500000000000000e+02,-2.600000000000000000e+01,-2.218960170647701347e-01
8.332500000000000000e+02,-2.500000000000000000e+01,-1.978716541621370339e-01
8.332500000000000000e+02,-2.400000000000000000e+01,-1.734512913967094505e-01
8.332500000000000000e+02,-2.300000000000000000e+01,-1.486331819944597399e-01
8.332500000000000000e+02,-2.200000000000000000e+01,-1.234166312761146855e-01
8.332500000000000000e+02,-2.100000000000000000e+01,-9.780211247035541788e-02
8.332500000000000000e+02,-2.000000000000000000e+01,-7.179138277959040693e-02
