tau,q,ask_depth
0.000000000000000000e+00,1.000000000000000000e+01,4.987541511039181308e-01
0.000000000000000000e+00,1.100000000000000000e+01,4.987541511039094710e-01
0.000000000000000000e+00,1.200000000000000000e+01,4.987541511039101372e-01
0.000000000000000000e+00,1.300000000000000000e+01,4.987541511039054742e-01
0.000000000000000000e+00,1.400000000000000000e+01,4.987541511038923736e-01
0.000000000000000000e+00,1.500000000000000000e+01,4.987541511039264575e-01
0.000000000000000000e+00,1.600000000000000000e+01,4.987541511039031428e-01
0.000000000000000000e+00,1.700000000000000000e+01,4.987541511038989794e-01
0.000000000000000000e+00,1.800000000000000000e+01,4.987541511039190190e-01
0.000000000000000000e+00,1.900000000000000000e+01,4.987541511039001452e-01
0.000000000000000000e+00,2.000000000000000000e+01,4.987541511039065845e-01
0.000000000000000000e+00,2.100000000000000000e+01,4.987541511039171316e-01
0.000000000000000000e+00,2.200000000000000000e+01,4.987541511038989239e-01
0.000000000000000000e+00,2.300000000000000000e+01,4.987541511039015329e-01
0.000000000000000000e+00,2.400000000000000000e+01,4.987541511039157993e-01
0.000000000000000000e+00,2.500000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.600000000000000000e+01,4.987541511039036424e-01
0.000000000000000000e+00,2.700000000000000000e+01,4.987541511039128017e-01
0.000000000000000000e+00,2.800000000000000000e+01,4.987541511039110254e-01
0.000000000000000000e+00,2.900000000000000000e+01,4.987541511038977582e-01
0.000000000000000000e+00,3.000000000000000000e+01,4.987541511038987019e-01
1.666666666666666572e+02,-3.000000000000000000e+01,1.233351572554679754e+00
1.666666666666666572e+02,-2.900000000000000000e+01,1.212752891713807513e+00
1.666666666666666572e+02,-2.800000000000000000e+01,1.191887179749534731e+00
1.666666666666666572e+02,-2.700000000000000000e+01,1.170753272338950657e+00
1.666666666666666572e+02,-2.600000000000000000e+01,1.149350424397599602e+00
1.666666666666666572e+02,-2.500000000000000000e+01,1.127678352888967339e+00
1.666666666666666572e+02,-2.400000000000000000e+01,1.105737281266959915e+00
1.666666666666666572e+02,-2.300000000000000000e+01,1.083527985238753599e+00
1.666666666666666572e+02,-2.200000000000000000e+01,1.061051839454095980e+00
1.666666666666666572e+02,-2.100000000000000000e+01,1.038310864639059750e+00
1.666666666666666572e+02,-2.000000000000000000e+01,1.015307774598745327e+00
1.666666666666666572e+02,-1.900000000000000000e+01,9.920460224165652541e-01
1.666666666666666572e+02,-1.800000000000000000e+01,9.685298450803099257e-01
1.666666666666666572e+02,-1.700000000000000000e+01,9.447643056707785147e-01
1.666666666666666572e+02,-1.600000000000000000e+01,9.207553321615113973e-01
1.666666666666666572e+02,-1.500000000000000000e+01,8.965097518032294488e-01
1.666666666666666572e+02,-1.400000000000000000e+01,8.720353200095114499e-01
1.666666666666666572e+02,-1.300000000000000000e+01,8.473407426268603215e-01
1.666666666666666572e+02,-1.200000000000000000e+01,8.224356904690119929e-01
1.666666666666666572e+02,-1.100000000000000000e+01,7.973308050275613734e-01
1.666666666666666572e+02,-1.000000000000000000e+01,7.720376943440823148e-01
1.666666666666666572e+02,-9.000000000000000000e+00,7.465689181465249291e-01
1.666666666666666572e+02,-8.000000000000000000e+00,7.209379615168017841e-01
