tau,q,spread
1.666666666666666572e+02,-2.500000000000000000e+01,1.019449373829822258e+00
1.666666666666666572e+02,-2.400000000000000000e+01,1.019717598236021150e+00
1.666666666666666572e+02,-2.300000000000000000e+01,1.019984447992472454e+00
1.666666666666666572e+02,-2.200000000000000000e+01,1.020249277022851064e+00
1.666666666666666572e+02,-2.100000000000000000e+01,1.020511392248129034e+00
1.666666666666666572e+02,-2.000000000000000000e+01,1.020770054389994685e+00
1.666666666666666572e+02,-1.900000000000000000e+01,1.021024479544069941e+00
1.666666666666666572e+02,-1.800000000000000000e+01,1.021273841617346134e+00
1.666666666666666572e+02,-1.700000000000000000e+01,1.021517275717081841e+00
1.666666666666666572e+02,-1.600000000000000000e+01,1.021753882566096561e+00
1.666666666666666572e+02,-1.500000000000000000e+01,1.021982734001532611e+00
1.666666666666666572e+02,-1.400000000000000000e+01,1.022202879590465852e+00
1.666666666666666572e+02,-1.300000000000000000e+01,1.022413354365663052e+00
1.666666666666666572e+02,-1.200000000000000000e+01,1.022613187649265232e+00
1.666666666666666572e+02,-1.100000000000000000e+01,1.022801412891293893e+00
1.666666666666666572e+02,-1.000000000000000000e+01,1.022977078405371998e+00
1.666666666666666572e+02,-9.000000000000000000e+00,1.023139258837537868e+00
1.666666666666666572e+02,-8.000000000000000000e+00,1.023287067157595542e+00
1.666666666666666572e+02,-7.000000000000000000e+00,1.023419666919433091e+00
1.666666666666666572e+02,-6.000000000000000000e+00,1.023536284499285909e+00
1.666666666666666572e+02,-5.000000000000000000e+00,1.023636220992978352e+00
1.666666666666666572e+02,-4.000000000000000000e+00,1.023718863436708038e+00
1.666666666666666572e+02,-3.000000000000000000e+00,1.023783695014176764e+00
1.666666666666666572e+02,-2.000000000000000000e+00,1.023830303926422713e+00
1.666666666666666572e+02,-1.000000000000000000e+00,1.023858390631060544e+00
1.666666666666666572e+02,0.000000000000000000e+00,1.023867773203317899e+00
1.666666666666666572e+02,1.000000000000000000e+00,1.023858390631059434e+00
1.666666666666666572e+02,2.000000000000000000e+00,1.023830303926423824e+00
1.666666666666666572e+02,3.000000000000000000e+00,1.023783695014176764e+00
1.666666666666666572e+02,4.000000000000000000e+00,1.023718863436707149e+00
1.666666666666666572e+02,5.000000000000000000e+00,1.023636220992977020e+00
1.666666666666666572e+02,6.000000000000000000e+00,1.023536284499287463e+00
1.666666666666666572e+02,7.000000000000000000e+00,1.023419666919431759e+00
1.666666666666666572e+02,8.000000000000000000e+00,1.023287067157597985e+00
1.666666666666666572e+02,9.000000000000000000e+00,1.023139258837536092e+00
1.666666666666666572e+02,1.000000000000000000e+01,1.022977078405373996e+00
1.666666666666666572e+02,1.100000000000000000e+01,1.022801412891292561e+00
1.666666666666666572e+02,1.200000000000000000e+01,1.022613187649265898e+00
1.666666666666666572e+02,1.300000000000000000e+01,1.022413354365662386e+00
1.666666666666666572e+02,1.400000000000000000e+01,1.022202879590466296e+00
1.666666666666666572e+02,1.500000000000000000e+01,1.021982734001531723e+00
1.666666666666666572e+02,1.600000000000000000e+01,1.021753882566097449e+00
1.666666666666666572e+02,1.700000000000000000e+01,1.021517275717082951e+00
1.666666666666666572e+02,1.800000000000000000e+01,1.021273841617344358e+00
1.666666666666666572e+02,1.900000000000000000e+01,1.021024479544070607e+00
1.666666666666666572e+02,2.000000000000000000e+01,1.020770054389994907e+00
1.666666666666666572e+02,2.100000000000000000e+01,1.020511392248129257e+00
1.666666666666666572e+02,2.200000000000000000e+01,1.020249277022850842e+00
1.666666666666666572e+02,2.300000000000000000e+01,1.019984447992472010e+00
1.666666666666666572e+02,2.400000000000000000e+01,1.019717598236019152e+00
1.666666666666666572e+02,2.500000000000000000e+01,1.019449373829823591e+00
1.666666666666666572e+02,2.600000000000000000e+01,1.019180373716448651e+00
1.666666666666666572e+02,2.700000000000000000e+01,1.018911150149163891e+00
1.666666666666666572e+02,2.800000000000000000e+01,1.018642209618399352e+00
1.666666666666666572e+02,2.900000000000000000e+01,1.018374014172086728e+00
1.666666666666666572e+02,3.000000000000000000e+01,1.018106983048687963e+00
3.333333333333333144e+02,-3.000000000000000000e+01,1.018107043597914929e+00
3.333333333333333144e+02,-2.900000000000000000e+01,1.018374089929606985e+00
3.333333333333333144e+02,-2.800000000000000000e+01,1.018642301508520864e+00
3.333333333333333144e+02,-2.700000000000000000e+01,1.018911259100953259e+00
3.333333333333333144e+02,-2.600000000000000000e+01,1.019180500655718857e+00
3.333333333333333144e+02,-2.500000000000000000e+01,1.019449519669948456e+00
3.333333333333333144e+02,-2.400000000000000000e+01,1.019717763867461713e+00
3.333333333333333144e+02,-2.300000000000000000e+01,1.019984634271051904e+00
3.333333333333333144e+02,-2.200000000000000000e+01,1.020249484756788450e+00
3.333333333333333144e+02,-2.100000000000000000e+01,1.020511622183885247e+00
3.333333333333333144e+02,-2.000000000000000000e+01,1.020770307197041316e+00
3.333333333333333144e+02,-1.900000000000000000e+01,1.021024755798754846e+00
3.333333333333333144e+02,-1.800000000000000000e+01,1.021274141786068679e+00
3.333333333333333144e+02,-1.700000000000000000e+01,1.021517600139078885e+00
3.333333333333333144e+02,-1.600000000000000000e+01,1.021754231436190263e+00
3.333333333333333144e+02,-1.500000000000000000e+01,1.021983107353269027e+00
3.333333333333333144e+02,-1.400000000000000000e+01,1.022203277280126166e+00
3.333333333333333144e+02,-1.300000000000000000e+01,1.022413776057684576e+00
3.333333333333333144e+02,-1.200000000000000000e+01,1.022613632803647921e+00
3.333333333333333144e+02,-1.100000000000000000e+01,1.022801880753575254e+00
3.333333333333333144e+02,-1.000000000000000000e+01,1.022977567999756809e+00
3.333333333333333144e+02,-9.000000000000000000e+00,1.023139768963725160e+00
3.333333333333333144e+02,-8.000000000000000000e+00,1.023287596391773802e+00
3.333333333333333144e+02,-7.000000000000000000e+00,1.023420213619818941e+00
3.333333333333333144e+02,-6.000000000000000000e+00,1.023536846816447188e+00
3.333333333333333144e+02,-5.000000000000000000e+00,1.023636796885014633e+00
3.333333333333333144e+02,-4.000000000000000000e+00,1.023719450689194232e+00
3.333333333333333144e+02,-3.000000000000000000e+00,1.023784291264568713e+00
3.333333333333333144e+02,-2.000000000000000000e+00,1.023830906692444032e+00
3.333333333333333144e+02,-1.000000000000000000e+00,1.023858997342395716e+00
3.333333333333333144e+02,0.000000000000000000e+00,1.023868381235799818e+00
3.333333333333333144e+02,1.000000000000000000e+00,1.023858997342394828e+00
3.333333333333333144e+02,2.000000000000000000e+00,1.023830906692444920e+00
3.333333333333333144e+02,3.000000000000000000e+00,1.023784291264569379e+00
3.333333333333333144e+02,4.000000000000000000e+00,1.023719450689193344e+00
3.333333333333333144e+02,5.000000000000000000e+00,1.023636796885013078e+00
3.333333333333333144e+02,6.000000000000000000e+00,1.023536846816448964e+00
3.333333333333333144e+02,7.000000000000000000e+00,1.023420213619817387e+00
3.333333333333333144e+02,8.000000000000000000e+00,1.023287596391776244e+00
3.333333333333333144e+02,9.000000000000000000e+00,1.023139768963723384e+00
3.333333333333333144e+02,1.000000000000000000e+01,1.022977567999758808e+00
3.333333333333333144e+02,1.100000000000000000e+01,1.022801880753573922e+00
3.333333333333333144e+02,1.200000000000000000e+01,1.022613632803648587e+00
3.333333333333333144e+02,1.300000000000000000e+01,1.022413776057684132e+00
3.333333333333333144e+02,1.400000000000000000e+01,1.022203277280126610e+00
3.333333333333333144e+02,1.500000000000000000e+01,1.021983107353267917e+00
3.333333333333333144e+02,1.600000000000000000e+01,1.021754231436191152e+00
3.333333333333333144e+02,1.700000000000000000e+01,1.021517600139079773e+00
3.333333333333333144e+02,1.800000000000000000e+01,1.021274141786066902e+00
3.333333333333333144e+02,1.900000000000000000e+01,1.021024755798755512e+00
3.333333333333333144e+02,2.000000000000000000e+01,1.020770307197041760e+00
3.333333333333333144e+02,2.100000000000000000e+01,1.020511622183885470e+00
3.333333333333333144e+02,2.200000000000000000e+01,1.020249484756788450e+00
3.333333333333333144e+02,2.300000000000000000e+01,1.019984634271051904e+00
3.333333333333333144e+02,2.400000000000000000e+01,1.019717763867459714e+00
3.333333333333333144e+02,2.500000000000000000e+01,1.019449519669950011e+00
3.333333333333333144e+02,2.600000000000000000e+01,1.019180500655720856e+00
3.333333333333333144e+02,2.700000000000000000e+01,1.018911259100951483e+00
3.333333333333333144e+02,2.800000000000000000e+01,1.018642301508521530e+00
3.333333333333333144e+02,2.900000000000000000e+01,1.018374089929605875e+00
3.333333333333333144e+02,3.000000000000000000e+01,1.018107043597916039e+00
5.000000000000000000e+02,-3.000000000000000000e+01,1.018107043598605710e+00
5.000000000000000000e+02,-2.900000000000000000e+01,1.018374089930471404e+00
5.000000000000000000e+02,-2.800000000000000000e+01,1.018642301509569803e+00
5.000000000000000000e+02,-2.700000000000000000e+01,1.018911259102196709e+00
5.000000000000000000e+02,-2.600000000000000000e+01,1.019180500657167920e+00
5.000000000000000000e+02,-2.500000000000000000e+01,1.019449519671613347e+00
5.000000000000000000e+02,-2.400000000000000000e+01,1.019717763869352645e+00
5.000000000000000000e+02,-2.300000000000000000e+01,1.019984634273178647e+00
5.000000000000000000e+02,-2.200000000000000000e+01,1.020249484759160552e+00
