y,regime,regime_ergodic_ask,regime_ergodic_bid,ansatz_ask,ansatz_bid
-1.32,-1,-0.9284311529,1.957030913,-1.050345257,2.073954683
-1.28,-1,-0.8961808212,1.924597797,-1.027774776,2.051384202
-1.24,-1,-0.8637327251,1.891973974,-1.004644688,2.028254114
-1.2,-1,-0.831284629,1.859350151,-0.980923299,2.004532725
-1.16,-1,-0.7984426554,1.826347282,-0.9565783737,1.9801878
-1.12,-1,-0.7656006819,1.793344414,-0.9315773442,1.955186771
-1.08,-1,-0.7325642533,1.760154889,-0.9058875559,1.929496982
-1.04,-1,-0.6993333698,1.726778709,-0.8794765527,1.903085979
-1,-1,-0.6661024863,1.693402528,-0.852312405,1.875921831
-0.96,-1,-0.6324918502,1.659662998,-0.8243640809,1.847973507
-0.92,-1,-0.5988812142,1.625923468,-0.7956018601,1.819211286
-0.88,-1,-0.5650878266,1.592009804,-0.765997791,1.789607217
-0.84,-1,-0.5311116876,1.557922005,-0.735526187,1.759135613
-0.8,-1,-0.4971355486,1.523834206,-0.7041641597,1.727773586
-0.76,-1,-0.4628141212,1.48941919,-0.6718921823,1.695501609
-0.72,-1,-0.4284926937,1.455004175,-0.6386946751,1.662304101
-0.68,-1,-0.3940120929,1.420439432,-0.6045606038,1.62817003
-0.64,-1,-0.3593723186,1.385724964,-0.5694840791,1.593093505
-0.6,-1,-0.3247325443,1.351010495,-0.5334649414,1.557074368
-0.56,-1,-0.2898086481,1.316031575,-0.4965093171,1.520118743
-0.52,-1,-0.2548847518,1.281052656,-0.4586301264,1.482239553
-0.48,-1,-0.2198396707,1.24596274,-0.4198475264,1.443456953
-0.44,-1,-0.1846734047,1.210761827,-0.3801892673,1.403798694
-0.4,-1,-0.1495071387,1.175560913,-0.3396909453,1.363300372
-0.36,-1,-0.1141476175,1.140187718,-0.2983961328,1.322005559
-0.32,-1,-0.07878809624,1.104814523,-0.2563563713,1.279965798
-0.28,-1,-0.04335986244,1.069383332,-0.2136310132,1.237240439
-0.24,-1,-0.007862916069,1.033894145,-0.1702869054,1.193896332
-0.2,-1,0.0276340303,0.9984049588,-0.1263979094,1.150007336
-0.16,-1,0.06320700818,0.9628614705,-0.082044262,1.105653688
-0.12,-1,0.09877998607,0.9273179821,-0.03731178205,1.060921208
-0.08,-1,0.1343583104,0.8917800679,0.007709060705,1.015900366
-0.04,-1,0.1699419812,0.856247728,0.05292419657,0.9706852297
0,-1,0.2055256521,0.8207153881,0.09823710105,0.9253723252
0.04,-1,0.2410527096,0.7852614189,0.1435500055,0.8800594207
0.08,-1,0.2765797672,0.7498074497,0.1887651414,0.8348442849
0.12,-1,0.3120449663,0.7144260777,0.2337859841,0.7898234421
0.16,-1,0.347448307,0.6791173029,0.2785184641,0.7450909622
0.2,-1,0.3828516477,0.643808528,0.3228721115,0.7007373147
0.24,-1,0.4180665344,0.6087092184,0.3667611075,0.6568483188
0.28,-1,0.4532814212,0.5736099088,0.4101052153,0.6135042109
0.32,-1,0.4883718759,0.5386452207,0.4528305734,0.5707788529
0.36,-1,0.5233378983,0.5038151539,0.4948703349,0.5287390914
0.4,-1,0.5583039208,0.4689850872,0.5361651474,0.4874442789
0.44,-1,0.5929665884,0.4344779811,0.5766634694,0.4469459568
0.48,-1,0.6276292559,0.3999708749,0.6163217285,0.4072876977
0.52,-1,0.6621165222,0.3656485318,0.6551043285,0.3685050977
0.56,-1,0.6964283873,0.3315109518,0.6929835192,0.3306259071
0.6,-1,0.7307402524,0.2973733718,0.7299391435,0.2936702827
0.64,-1,0.7646615284,0.2636441454,0.7659582812,0.2576511451
0.68,-1,0.7985828045,0.229914919,0.8010348059,0.2225746203
0.72,-1,0.832292794,0.196405359,0.8351688772,0.1884405491
0.76,-1,0.865791497,0.1631154654,0.8683663844,0.1552430418
0.8,-1,0.8992902,0.1298255718,0.9006383618,0.1229710645
0.84,-1,0.9323418858,0.09699843193,0.9320003891,0.09160903721
0.88,-1,0.9653935716,0.06417129202,0.9624719931,0.06113743318
0.92,-1,0.9982130136,0.03158375523,0.9920760622,0.03153336404
0.96,-1,1.030800212,-0.0007641784548,1.020838283,0.002771143285
1,-1,1.06338741,-0.03311211214,1.048786607,-0.02517718082
1.04,-1,1.095498856,-0.06497057008,1.075950755,-0.0523413285
1.08,-1,1.127610303,-0.09682902803,1.102361758,-0.07875233176
1.12,-1,1.159480909,-0.1284402623,1.128051546,-0.1044421201
1.16,-1,1.191110675,-0.1598042729,1.153052576,-0.1294431495
1.2,-1,1.222740441,-0.1911682835,1.177397501,-0.1537880748
1.24,-1,1.253887033,-0.2220372657,1.20111889,-0.1775094638
1.28,-1,1.285033626,-0.2529062479,1.224248978,-0.2006395516
1.32,-1,1.31593967,-0.2835291845,1.246819459,-0.2232100328
1.36,-1,1.346605166,-0.3139060754,1.268861315,-0.2452518887
1.4,-1,1.377270662,-0.3442829664,1.290404673,-0.2667952463
1.44,-1,1.407459909,-0.3741734213,1.311478693,-0.2878692666
1.48,-1,1.437649157,-0.4040638762,1.332111485,-0.3085020588
1.52,-1,1.467603737,-0.4337149464,1.352330043,-0.328720617
1.56,-1,1.497323648,-0.4631266319,1.372160204,-0.3485507775
1.6,-1,1.52704356,-0.4925383173,1.391626619,-0.3680171932
1.64,-1,1.556302505,-0.5214803057,1.410752749,-0.387143323
1.68,-1,1.58556145,-0.550422294,1.42956086,-0.4059514332
1.72,-1,1.61459457,-0.5791344202,1.448072037,-0.4244626106
1.76,-1,1.643401866,-0.6076166844,1.466306209,-0.4426967826
1.8,-1,1.672209161,-0.6360989485,1.484282172,-0.4606727458
1.84,-1,1.700574658,-0.6641319504,1.502017625,-0.4784081986
1.88,-1,1.728940154,-0.6921649522,1.519529206,-0.4959197798
1.92,-1,1.757089776,-0.7199786343,1.536832535,-0.5132231085
1.96,-1,1.785023524,-0.7475729967,1.553942253,-0.530332827
2,-1,1.812957271,-0.7751673591,1.570872072,-0.5472626457
2.04,-1,1.840469261,-0.8023336103,1.587634814,-0.5640253873
2.08,-1,1.867981251,-0.8294998614,1.604242459,-0.5806330323
2.12,-1,1.895287227,-0.8564571759,1.62070619,-0.5970967633
2.16,-1,1.922387191,-0.8832055539,1.637036436,-0.6134270096
