time,price,y,alpha,regime,z,glft_inventory,y_aware_inventory,alpha/y_aware_inventory,regime_aware_inventory,regime_galerkin_inventory,regime_sc_cubic_inventory
133,0.15463879,-2.101675,-0.029962669,0,0,14,4,-4,-7,-4,-2
134,0.10992747,-1.6720777,-0.035482933,0,0,14,4,-4,-7,-5,-3
135,0.17745011,-1.9980224,-0.032726144,0,0,14,4,-4,-7,-5,-3
136,-0.59393006,-1.9192675,-0.026194121,0,0,14,4,-4,-7,-5,-4
137,-1.2615922,-2.0777174,-0.033293872,0,0,14,4,-4,-7,-5,-4
138,-1.6300368,-1.9685164,-0.02649373,0,0,14,4,-3,-7,-5,-4
139,-1.4900126,-1.7796886,-0.024833682,0,0,14,4,-3,-7,-5,-5
140,-1.5083242,-1.6255554,-0.035549772,0,0,15,4,-3,-7,-5,-5
141,-1.3025267,-1.5780019,-0.037365333,0,0,16,5,-3,-7,-6,-5
142,-1.2475253,-1.7653784,-0.041851655,0,0,16,5,-3,-7,-6,-5
143,-0.96475848,-1.1959432,-0.046095334,0,0,16,6,-3,-7,-6,-5
144,-0.63335673,-1.1099101,-0.044555724,0,0,16,6,-3,-7,-6,-5
145,-0.62321025,-0.74355047,-0.038471603,0,0,16,5,-3,-7,-5,-4
146,-0.88291456,-0.80654596,-0.03847082,0,0,16,4,-3,-7,-5,-4
147,-0.3431185,-0.61804283,-0.0466104,0,0,17,3,-4,-8,-5,-4
148,-1.0321587,-0.89690873,-0.042670944,0,0,17,3,-5,-8,-5,-4
149,-1.4970507,-0.53018978,-0.047417585,0,0,17,4,-5,-8,-5,-5
150,-1.0970377,-0.70764441,-0.039927128,0,0,16,4,-6,-8,-5,-5
151,-1.7431277,-0.58117889,-0.030481577,0,0,16,4,-5,-9,-4,-5
152,-1.519904,-0.87300794,-0.036782472,0,0,16,3,-5,-8,-4,-5
153,-1.4698738,-0.79695469,-0.032813728,0,0,16,4,-4,-8,-3,-5
154,-1.3294071,-0.61182552,-0.033465212,0,0,16,3,-4,-8,-4,-5
155,-1.4200932,-0.096440666,-0.020635473,0,0,16,4,-5,-7,-6,-5
156,-1.4747922,0.083902579,-0.0064150097,0,0,16,3,-6,-7,-7,-5
157,-1.4896336,0.71851651,-0.013909776,0,0,15,3,-5,-7,-7,-5
158,-1.2671767,0.60520686,0.014979351,0,0,10,3,-5,-7,-6,-5
159,-1.117159,0.15041791,0.0053527298,0,0,10,3,-5,-5,-6,-4
160,-1.2018157,0.39065913,-0.0044871955,0,0,10,3,-5,-6,-6,-2
161,-0.91433851,0.739103,-0.0084892538,0,0,10,2,-5,-5,-6,-2
162,-1.2452892,0.45567658,-0.0030653336,0,0,10,1,-5,-3,-6,0
163,-1.2723972,0.049267582,-0.0045232198,0,0,9,0,-4,-3,-5,0
164,-1.1336408,-0.14648971,-0.0081574498,0,0,9,0,-4,-4,-5,1
165,-1.132499,-0.16735508,-0.019335701,0,0,11,1,-5,-4,-5,0
166,-1.0091042,-0.62717178,-0.014651593,0,0,11,2,-5,-4,-5,1
167,-1.1422866,-0.13140031,-0.015465794,0,0,11,2,-5,-4,-6,1
168,-1.3561242,0.12283848,-0.006615851,0,0,11,2,-5,-3,-6,1
169,-1.4920045,-0.25577759,-0.014191624,0,0,8,3,-5,-3,-6,0
170,-1.5448394,0.074211408,-0.01642736,0,0,8,3,-5,-3,-6,0
171,-1.8840881,-0.29441048,-0.017488914,0,0,7,3,-5,-3,-5,0
172,-1.8807625,-0.82218639,-0.035792896,0,0,8,2,-4,0,-6,0
173,-2.1037109,-0.832609,-0.03321478,0,0,8,1,-5,0,-6,0
174,-2.2702592,-1.2589987,-0.034533325,0,0,9,1,-4,-1,-6,0
175,-2.1240455,-1.4242688,-0.027205583,0,0,9,2,-4,-1,-7,0
176,-2.2954165,-1.4755009,-0.033980022,0,0,9,2,-4,-2,-7,0
177,-2.1281119,-1.5372404,-0.030391487,0,0,11,1,-4,-5,-8,0
178,-2.3913333,-1.3967426,-0.023465436,0,0,13,1,-4,-5,-8,0
179,-2.8502448,-1.7037139,-0.021711744,0,0,13,1,-4,-5,-7,-2
180,-2.815359,-1.614714,-0.021469625,0,0,13,1,-4,-5,-7,-1
181,-2.9698124,-1.6397145,-0.024730823,0,0,13,2,-4,-6,-7,-1
182,-3.4584997,-1.854567,-0.033126883,0,0,13,2,-5,-6,-7,-1
183,-3.7049139,-1.5675101,-0.034405828,0,0,13,2,-5,-6,-7,-1
184,-3.9798344,-2.0269647,-0.036989223,0,0,13,3,-5,-7,-7,-1
185,-3.093222,-2.2025274,-0.03310305,0,0,13,3,-5,-7,-7,-2
186,-3.1782222,-2.0270178,-0.029585157,0,0,13,3,-5,-7,-7,-2
187,-2.8027495,-2.3269085,-0.03055365,0,0,13,3,-5,-7,-8,-2
188,-2.9566538,-1.4435925,-0.028338824,0,0,13,3,-5,-7,-8,-2
189,-3.1942942,-1.9068306,-0.025658642,0,0,14,3,-5,-7,-8,-2
190,-3.0188483,-2.0673779,-0.026471308,0,0,14,4,-5,-8,-8,-4
191,-3.0806459,-1.4477738,-0.024776944,0,0,14,4,-5,-8,-8,-4
192,-3.1597511,-1.6321991,-0.022247617,0,0,15,3,-5,-9,-9,-3
193,-2.9616262,-1.1548004,-0.021387334,0,0,15,3,-5,-9,-12,-3
194,-2.4670844,-1.3500503,-0.026188863,0,0,15,3,-5,-10,-12,-3
195,-2.5473992,-1.6309345,-0.022565379,0,0,15,4,-5,-11,-12,-3
196,-2.4257809,-1.2724195,-0.025484299,0,0,15,4,-5,-11,-12,-3
197,-2.517472,-0.83432796,-0.032392417,0,0,15,4,-5,-11,-12,-3
198,-2.9506445,-0.72498649,-0.024071089,0,0,15,5,-6,-10,-13,-4
199,-3.0969479,-0.80427397,-0.032155563,0,0,16,5,-6,-8,-12,-5
200,-3.6746086,-0.93675806,-0.024104376,0,0,15,5,-6,-8,-12,-5
201,-3.3243669,-1.0739921,-0.019322031,0,0,16,5,-6,-7,-12,-5
202,-2.9914401,-0.98672804,-0.019454951,0,0,16,5,-6,-8,-12,-5
203,-3.4007576,-0.74678051,-0.021289939,0,0,17,5,-7,-8,-11,-5
204,-3.2875587,-1.3097101,-0.02651792,0,0,18,5,-7,-7,-11,-5
205,-3.6649047,-0.8570086,-0.040522192,0,0,18,5,-7,-7,-11,-5
206,-3.6986476,-0.46580866,-0.032059836,0,0,18,5,-7,-7,-10,-5
207,-3.3785254,0.061983842,-0.033605815,0,0,17,5,-8,-7,-10,-5
208,-3.7560186,0.046135699,-0.02117878,0,0,14,5,-7,-7,-10,-5
209,-3.8210534,0.035662015,-0.012667296,0,0,14,5,-6,-7,-10,-5
210,-3.4110828,-0.18519445,-0.0037741122,0,0,15,6,-5,-6,-9,-5
211,-2.9491425,-0.25734355,-0.0024207552,0,0,15,6,-6,-4,-8,-5
212,-2.7503064,-0.11072654,-0.026278444,0,0,15,6,-6,-3,-10,-6
213,-3.1073355,-0.67141923,-0.019997008,0,0,15,6,-6,-3,-10,-6
214,-3.4125104,-0.62182437,-0.021136111,0,0,15,5,-6,-4,-10,-5
215,-3.3149537,-0.43967887,-0.02109831,0,0,16,5,-6,-5,-10,-5
216,-3.1027339,-0.034612866,-0.017144449,0,0,16,6,-6,-6,-10,-5
217,-3.015263,-0.029926493,-0.0079362911,0,0,16,6,-6,-6,-9,-5
218,-2.817645,0.52042472,-0.00072205894,0,0,14,5,-5,-5,-9,-4
219,-2.8819297,0.066334458,0.0076236268,0,0,12,4,-6,-4,-8,-2
220,-3.0385044,0.4280416,-0.0014933739,0,0,11,2,-6,-4,-8,-2
221,-3.0562123,0.65719641,0.0048721687,0,0,11,2,-6,-3,-7,-3
222,-2.7606748,0.29987252,-0.00086370074,0,0,10,2,-6,-3,-5,-3
223,-3.1093731,0.62939132,0.0050955257,0,0,9,1,-7,-3,-5,-4
224,-2.9253462,0.57223654,0.0036806482,0,0,8,1,-7,-2,-5,-4
225,-3.1880562,1.0443052,0.011330934,0,0,8,1,-6,-3,-3,-3
226,-3.0905828,0.93264848,0.016408504,0,0,8,1,-6,-2,-1,-2
227,-3.1853749,0.7627789,0.018692541,0,0,7,1,-6,-2,-1,-1
228,-2.9752473,0.92399708,0.017102499,0,0,7,1,-6,-1,-1,0
229,-2.9576876,1.2063698,0.012387208,0,0,5,2,-6,0,-1,1
230,-2.9644237,0.65822326,0.015259405,0,0,5,2,-6,0,-2,1
231,-2.9867379,0.18970716,0.014083427,0,0,5,2,-5,1,-1,1
232,-3.5538054,0.21938641,0.023922307,0,0,3,4,-4,1,-3,0
233,-3.2937367,0.45554306,0.031836755,0,0,3,3,-2,1,-3,0
234,-3.2310864,-0.010776452,0.019722925,0,0,1,3,-2,0,-1,0
